Ano,faixa_etaria,nMx,Local,sexo,ax,n,nqx,lx,dx,Lx,Tx,ex
2053,35-39,0.0032887368065466,Nordeste,Homens,2.5,5,0.0163095891672485,93797.47035065702,1529.7982063463885,465162.8562374192,4033650.223826075,43.00382738198036
2053,40-44,0.0042418674888081,Nordeste,Homens,2.5,5,0.0209867795988529,92267.67214431064,1936.401299391874,456497.3574730735,3568487.367588656,38.67538092873294
2053,45-49,0.0055515365984965,Nordeste,Homens,2.5,5,0.0273777120661866,90331.27084491876,2473.063523764907,445473.6954151816,3111990.010115582,34.450860493906525
2053,50-54,0.0047939461787217,Nordeste,Homens,2.5,5,0.0236858590597854,87858.20732115385,2080.997115854262,434088.5438161336,2666516.3147004005,30.350224481058543
2053,55-59,0.0078244278682692,Nordeste,Homens,2.5,5,0.0383715507634899,85777.21020529959,3291.4045757431995,420657.5395871399,2232427.7708842666,26.025884562358268
2053,60-64,0.0117164521815052,Nordeste,Homens,2.5,5,0.056915151772172,82485.80562955639,4694.692146456081,400692.2977816417,1811770.2312971265,21.96463036845132
2053,65-69,0.0184003086168208,Nordeste,Homens,2.5,5,0.087955521245431,77791.1134831003,6842.157934668563,371850.1725788301,1411077.933515485,18.13932042278883
2053,70-74,0.0226933167776758,Nordeste,Homens,2.5,5,0.1073748548979866,70948.95554843174,7618.133807176559,335699.44322421734,1039227.7609366548,14.64754136129952
2053,75-79,0.0376609593890363,Nordeste,Homens,2.5,5,0.1721010685605138,63330.82174125518,10899.302094485436,289405.8534700623,703528.3177124376,11.108782396457409
2053,80-84,0.0667523173528701,Nordeste,Homens,2.5,5,0.2860288631514371,52431.51964676975,14996.92795786779,224665.27833917923,414122.46424237534,7.898349447666429
2053,85-89,0.1290292107023153,Nordeste,Homens,2.5,5,0.4877961673648301,37434.59168890195,18260.45035271369,141521.8325627255,189457.1859031961,5.061019163175849
2053,90+,0.2128353489090562,Nordeste,Homens,2.5,5,1.0,19174.14133618825,19174.14133618825,47935.35334047064,47935.35334047064,2.5
2054,0,0.0127652054706383,Nordeste,Homens,0.0792618114831932,1,0.0126169136839105,100000.0,1261.691368391053,99369.15431580448,7449903.738192681,74.49903738192681
2054,1-4,0.0005883617229846,Nordeste,Homens,1.6869468186053176,4,0.0023502484107788,98738.30863160896,232.05955294443103,394489.1154205469,7350534.583876877,74.44460701976985
2054,5-9,9.925012934502632e-05,Nordeste,Homens,2.5,5,0.0004961275449176,98506.2490786645,48.871663514441366,492409.06623453647,6956045.46845633,70.61527094490638
2054,10-14,0.0001563783816655,Nordeste,Homens,2.5,5,0.0007815863503062,98457.37741515008,76.95294227463192,492094.50472006376,6463636.402221793,65.64908158143977
2054,15-19,0.0009451553834569,Nordeste,Homens,2.5,5,0.004714636756506,98380.42447287544,463.8279653404884,490742.552451026,5971541.897501729,60.69847664814812
2054,20-24,0.0023720924255744,Nordeste,Homens,2.5,5,0.0117905414924528,97916.59650753497,1154.489693921858,486696.75830287015,5480799.345050704,55.97416107726887
2054,25-29,0.0030580297137534,Nordeste,Homens,2.5,5,0.0151741411326065,96762.10681361308,1468.2818650781137,480139.82940537017,4994102.5867478335,51.61217289705842
2054,30-34,0.0030945929230996,Nordeste,Homens,2.5,5,0.0153541772945092,95293.82494853498,1463.1582833317364,472811.2290343456,4513962.757342463,47.36889047931809
2054,35-39,0.0032887368065466,Nordeste,Homens,2.5,5,0.0163095891672485,93830.66666520324,1530.339624598504,465327.48426452,4041151.5283081178,43.06855820099128
2054,40-44,0.0042418674888081,Nordeste,Homens,2.5,5,0.0209867795988529,92300.32704060474,1937.0866205032216,456658.9186517656,3575824.0440435978,38.74118498486492
2054,45-49,0.0055515365984965,Nordeste,Homens,2.5,5,0.0273777120661866,90363.24042010152,2473.9387775891387,445631.3551565347,3119165.125391832,34.51807516962358
2054,50-54,0.0047172412601783,Nordeste,Homens,2.5,5,0.0233112938084385,87889.30164251238,2048.813333207091,434324.4748795441,2673533.7702352973,30.419331138957407
2054,55-59,0.0077492812709962,Nordeste,Homens,2.5,5,0.0380100303149081,85840.48830930529,3262.799562883215,421045.4426393184,2239209.295355753,26.08570080924176
2054,60-64,0.0116025311846912,Nordeste,Homens,2.5,5,0.0563773558500545,82577.68874642208,4655.5117437320805,401249.6643727802,1818163.8527164347,22.01761614205038
2054,65-69,0.0182732711203666,Nordeste,Homens,2.5,5,0.0873747972057633,77922.17700268999,6808.434413441635,372589.7989798459,1416914.1883436546,18.18370896252989
2054,70-74,0.0224488119358507,Nordeste,Homens,2.5,5,0.1062794416818461,71113.74258924836,7557.928858291838,336673.89080051216,1044324.3893638088,14.685268294706503
2054,75-79,0.0373055223337381,Nordeste,Homens,2.5,5,0.1706153726788188,63555.81373095652,10843.598845612736,290670.0715407508,707650.4985632965,11.134315761558993
2054,80-84,0.0663147980732702,Nordeste,Homens,2.5,5,0.284420731862987,52712.21488534379,14992.44673580852,226079.95758719768,416980.4270225457,7.910508559155304
2054,85-89,0.1290292107023153,Nordeste,Homens,2.5,5,0.4877961673648301,37719.76814953527,18399.5583372333,142599.94490459314,190900.4694353481,5.06101916317585
2054,90+,0.2128353489090562,Nordeste,Homens,2.5,5,1.0,19320.20981230198,19320.20981230198,48300.52453075495,48300.52453075495,2.5
2055,0,0.012691429299877,Nordeste,Homens,0.07906379624087,1,0.0125448056525605,100000.0,1254.4805652560572,99372.75971737196,7458373.752680733,74.58373752680733
2055,1-4,0.0005883617229846,Nordeste,Homens,1.6867390649084535,4,0.0023502481238882,98745.51943474394,232.0764717938825,394517.924795388,7359000.992963361,74.52491044747163
2055,5-9,9.594661495679296e-05,Nordeste,Homens,2.5,5,0.0004796180304677,98513.44296295004,47.24882348848473,492449.092756029,6964483.068167972,70.69576352932104
2055,10-14,0.0001515851726357,Nordeste,Homens,2.5,5,0.0007576387461784,98466.19413946156,74.60180386878923,492144.46618763584,6472033.975411943,65.72848714194585
2055,15-19,0.0009135119846496,Nordeste,Homens,2.5,5,0.0045571523899382,98391.59233559278,448.3854801619752,490836.9979775589,5979889.509224308,60.77642781537855
2055,20-24,0.0023445630096406,Nordeste,Homens,2.5,5,0.0116545032551338,97943.2068554308,1141.479423114867,486862.3357193668,5489052.511246749,56.043218182031474
2055,25-29,0.0030580297137534,Nordeste,Homens,2.5,5,0.0151741411326065,96801.72743231594,1468.8830739380717,480336.4294767345,5002190.175527383,51.67459618966954
2055,30-34,0.0030945929230996,Nordeste,Homens,2.5,5,0.0153541772945092,95332.84435837789,1463.7573942683914,473004.8283062184,4521853.746050648,47.43227558649116
2055,35-39,0.0032887368065466,Nordeste,Homens,2.5,5,0.0163095891672485,93869.08696410948,1530.9662438893474,465518.019210824,4048848.91774443,43.13293171044151
2055,40-44,0.0042418674888081,Nordeste,Homens,2.5,5,0.0209867795988529,92338.12072022012,1937.87978812754,456845.9041307819,3583330.898533606,38.80662580724291
2055,45-49,0.0055515365984965,Nordeste,Homens,2.5,5,0.0273777120661866,90400.2409320926,2474.951766952732,445813.82524308114,3126484.994402824,34.58491882506592
2055,50-54,0.0046417636488072,Nordeste,Homens,2.5,5,0.0229425831231593,87925.28916513987,2017.233255299045,434583.36268745176,2680671.169159743,30.488056332973205
2055,55-59,0.0076748563892689,Nordeste,Homens,2.5,5,0.0376518505813399,85908.05590984083,3234.5972848507263,421453.7863370773,2246087.8064722912,26.145252417649
2055,60-64,0.0114897178605168,Nordeste,Homens,2.5,5,0.0558444955575368,82673.4586249901,4616.857592909469,401825.1491426769,1824634.020135214,22.070372408293963
2055,65-69,0.0181471106978036,Nordeste,Homens,2.5,5,0.0867977333026158,78056.60103208064,6775.136038891225,373345.1650631751,1422808.8709925371,18.22791220959998
2055,70-74,0.0222069414651699,Nordeste,Homens,2.5,5,0.1051945824865219,71281.46499318941,7498.423948986193,337661.2650934816,1049463.705929362,14.722813371324971
2055,75-79,0.0369527994221263,Nordeste,Homens,2.5,5,0.1691386322321161,63783.041044203215,10788.176321821456,291944.7644164624,711802.4408358803,11.159744489802293
2055,80-84,0.0658801464562116,Nordeste,Homens,2.5,5,0.2828201500207254,52994.86472238176,14988.015591112058,227504.28463412865,419857.676419418,7.922610589136875
2055,85-89,0.1290292107023153,Nordeste,Homens,2.5,5,0.4877961673648301,38006.8491312697,18539.595339846685,143685.2573067318,192353.3917852893,5.06101916317585
2055,90+,0.2128353489090562,Nordeste,Homens,2.5,5,1.0,19467.253791423016,19467.253791423016,48668.13447855754,48668.13447855754,2.5
2056,0,0.0126180795165628,Nordeste,Homens,0.0788669254224547,1,0.0124731054799426,100000.0,1247.310547994266,99376.34472600286,7466429.024359818,74.66429024359817
2056,1-4,0.0005883617229846,Nordeste,Homens,1.686532511918641,4,0.0023502478386558,98752.68945200574,232.0932949460328,394546.5712181309,7367052.679633815,74.60103335427878
2056,5-9,9.275305717400972e-05,Nordeste,Homens,2.5,5,0.0004636577716805,98520.5961570597,45.67984007882008,492488.78118510137,6972506.108415684,70.77206574450935
2056,10-14,0.0001469388819495,Nordeste,Homens,2.5,5,0.000734424620916,98474.91631698087,72.32240308583802,492193.7755771898,6480017.327230582,65.80373530221704
2056,15-19,0.0008947040200279,Nordeste,Homens,2.5,5,0.0044635362405948,98402.59391389503,439.223544103207,490914.91070921713,5987823.551653393,60.850261293852704
2056,20-24,0.0023173530889332,Nordeste,Homens,2.5,5,0.0115200255278124,97963.37036979182,1128.5405274505456,486995.5005303328,5496908.640944175,56.11187753335213
2056,25-29,0.0030580297137534,Nordeste,Homens,2.5,5,0.0151741411326065,96834.82984234128,1469.3853745796257,480500.6857752573,5009913.140413843,51.73668553526229
2056,30-34,0.0030945929230996,Nordeste,Homens,2.5,5,0.0153541772945092,95365.44446776166,1464.2579421276905,473166.57748348906,4529412.454638585,47.495321601209085
2056,35-39,0.0032887368065466,Nordeste,Homens,2.5,5,0.0163095891672485,93901.18652563397,1531.4897745502608,465677.2081917942,4056245.877155096,43.19696083976305
2056,40-44,0.0042418674888081,Nordeste,Homens,2.5,5,0.0209867795988529,92369.69675108371,1938.54246732788,457002.12758709886,3590568.668963302,38.8717165396689
2056,45-49,0.0055515365984965,Nordeste,Homens,2.5,5,0.0273777120661866,90431.15428375584,2475.7981037935688,445966.2761592952,3133566.541376203,34.651404885794825
2056,50-54,0.004567493707238,Nordeste,Homens,2.5,5,0.0225796376539501,87955.35617996227,1986.0000722676727,434811.7807191422,2687600.2652169075,30.556413866574605
2056,55-59,0.0076011462916482,Nordeste,Homens,2.5,5,0.0372969819187379,85969.3561076946,3206.397520314228,421830.7867376874,2252788.484497765,26.20455225552319
2056,60-64,0.0113780014388983,Nordeste,Homens,2.5,5,0.0553165283466833,82762.95858738039,4578.159544754204,402369.3940750165,1830957.697760078,22.122912580837347
2056,65-69,0.0180218212957225,Nordeste,Homens,2.5,5,0.0862243087686723,78184.79904262618,6741.430253668001,374070.41957896086,1428588.3036850614,18.27194443393272
2056,70-74,0.0219676769820742,Nordeste,Homens,2.5,5,0.1041201882532223,71443.36878895818,7438.697007750718,338620.1014254141,1054517.8841061003,14.7601926110332
2056,75-79,0.0366023619353098,Nordeste,Homens,2.5,5,0.1676690972218474,64004.67178120746,10731.605535535706,293194.34506719804,715897.7826806866,11.185086381317602
