idade,Sexo,Ano,regiao,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex,faixa_etaria
80,Ambos,2048,Centro-Oeste,0.0545412026715801,2.62079323702159,0.24138299739785,64788.2352440442,15638.7784193244,286733.288840243,0.693785933102608,658348.54619213,10.1615446648958,80-84
85,Ambos,2048,Centro-Oeste,0.0957639254000573,2.5425394842742,0.387602726393229,49149.4568247198,19050.4634660077,198931.522349608,0.464684190398464,371615.257351886,7.56092297575468,85-89
90,Ambos,2048,Centro-Oeste,0.174301264437644,5.73719303314492,1.0,30098.9933587121,30098.9933587121,172683.735002278,0.0,172683.735002278,5.73719303314492,90+
0,Mulheres,2049,Centro-Oeste,0.0075336634638112,0.0724441530381783,0.00748138434605839,100000.0,748.138434605833,99306.0598206445,0.99185850024043,8396773.51164985,83.9677351164985,0
1,Mulheres,2049,Centro-Oeste,0.000389368759765943,1.51182222085841,0.00155596758857368,99251.8615653942,154.432679701364,396623.19029957,0.998687626767156,8297467.45182921,83.6001191409619,1-4
5,Mulheres,2049,Centro-Oeste,0.00015504370513924,2.28168866321893,0.000774891942015435,99097.4288856928,76.7897991179634,495278.405846973,0.999300168405092,7900844.26152964,79.7280449187348,5-9
10,Mulheres,2049,Centro-Oeste,0.000144098930724569,2.59670325608867,0.000720245223705284,99020.6390865748,71.3191423503449,494931.794370285,0.999053048486622,7405565.85568267,74.7881040154457,10-14
15,Mulheres,2049,Centro-Oeste,0.000246984026463045,2.67874765879095,0.00123421254314555,98949.3199442245,122.124491810901,494463.117958587,0.998528109844519,6910634.06131238,69.8401370035464,15-19
20,Mulheres,2049,Centro-Oeste,0.000340685132313179,2.61810363763865,0.00170204449215667,98827.1954524136,168.208283695072,493735.322563016,0.998056585359955,6416170.94335379,64.9231308647553,20-24
25,Mulheres,2049,Centro-Oeste,0.00043686663975482,2.58847901694061,0.00218203439702078,98658.9871687185,215.277303577372,492775.790108839,0.997612687182681,5922435.62079078,60.0293575958033,25-29
30,Mulheres,2049,Centro-Oeste,0.000523232875068926,2.592850972407,0.00261287346250824,98443.7098651412,257.220957057492,491599.380149048,0.997027147924652,5429659.83068194,55.154969658499,30-34
35,Mulheres,2049,Centro-Oeste,0.000685771836562781,2.63623098572487,0.00342330997605613,98186.4889080837,336.122786992972,490137.927911533,0.995835276110967,4938060.45053289,50.2926676108727,35-39
40,Mulheres,2049,Centro-Oeste,0.00101312316638309,2.66392895727151,0.00505365520619462,97850.3661210907,494.502012175901,488096.638774238,0.99375501077567,4447922.52262136,45.456370772461,40-44
45,Mulheres,2049,Centro-Oeste,0.00152162663951668,2.65488752552347,0.0075810809772868,97355.8641089148,738.062689423401,485048.480524661,0.99092882787149,3959825.88384712,40.673727464605,45-49
50,Mulheres,2049,Centro-Oeste,0.00216347168401326,2.65308540574417,0.0107627109353579,96617.8014194914,1039.86946788781,480648.52226715,0.986800732631368,3474777.40332246,35.964153109175,50-54
55,Mulheres,2049,Centro-Oeste,0.00324211075290147,2.66844248403866,0.0160889348082816,95577.9319516036,1537.74711627973,474304.313911408,0.979981935867508,2994128.88105531,31.3265711019088,55-59
60,Mulheres,2049,Centro-Oeste,0.00501613252515021,2.68768771071745,0.0247930909142157,94040.1848353238,2331.54685221183,464809.659737212,0.967760867968955,2519824.5671439,26.7951894347765,60-64
65,Mulheres,2049,Centro-Oeste,0.00839206755786874,2.69041425780954,0.0411625176569366,91708.637983112,3774.95843027344,449824.599747639,0.947790598430428,2055014.90740669,22.4080844792954,65-69
70,Mulheres,2049,Centro-Oeste,0.0136067818859178,2.70235806616956,0.0659714113757958,87933.6795528386,5801.10894756771,426339.526583542,0.910199404648103,1605190.30765905,18.2545563408899,70-74
75,Mulheres,2049,Centro-Oeste,0.0253980768808316,2.70603983137872,0.119998982480173,82132.5706052709,9855.82490111348,388053.983274294,0.838498025033912,1178850.78107551,14.3530242921662,75-79
80,Mulheres,2049,Centro-Oeste,0.04715972742955,2.65387113862451,0.212308257572701,72276.7457041574,15344.9499434749,325382.498582038,0.725200147455701,790796.797801213,10.9412341424183,80-84
85,Mulheres,2049,Centro-Oeste,0.0851872860127972,2.5777069661752,0.353079069217826,56931.7957606825,20101.4254560812,235967.435951199,0.492994872853969,465414.299219175,8.1749450021844,85-89
90,Mulheres,2049,Centro-Oeste,0.160518081528909,6.22982775818875,1.0,36830.3703046013,36830.3703046013,229446.863267976,0.0,229446.863267976,6.22982775818875,90+
0,Homens,2049,Centro-Oeste,0.00891252015595269,0.0679123883943933,0.00883909161544013,100000.0,883.909161544012,99176.1192207401,0.990552976423459,7847492.82989897,78.4749282989897,0
1,Homens,2049,Centro-Oeste,0.000387144637915097,1.62635283844814,0.00154715680000926,99116.090838456,153.348133931053,396100.368990989,0.998582784332409,7748316.71067823,78.1741556303587,1-4
5,Homens,2049,Centro-Oeste,0.000184145003759939,2.37421889505737,0.000920280040879349,98962.7427045249,91.0734369016427,494574.574612846,0.999078329666544,7352216.34168724,74.2927705999307,5-9
10,Homens,2049,Centro-Oeste,0.000218543680122917,2.78114508193382,0.00109218878001436,98871.6692676233,107.986527835397,494118.739899744,0.997876910972167,6857641.76707439,69.3590167726642,10-14
15,Homens,2049,Centro-Oeste,0.000711521291042517,2.86582453620453,0.00355221238063897,98763.6827397879,350.829576585777,493069.681824616,0.994953832812942,6363523.02717465,64.431811883125,15-19
20,Homens,2049,Centro-Oeste,0.00127418098983681,2.62802679899715,0.00635170803487759,98412.8531632021,625.089710171946,490581.56977526,0.993355216697229,5870453.34535003,59.6512869677177,20-24
25,Homens,2049,Centro-Oeste,0.00133231829975174,2.50941605222108,0.00663955977574371,97787.7634530302,649.267700782671,487321.76155177,0.993345151515517,5379871.77557477,55.015797330909,25-29
30,Homens,2049,Centro-Oeste,0.00135097134015832,2.53237342818068,0.00673241290452175,97138.4957522475,653.976462328268,484078.709065452,0.992799435123012,4892550.014023,50.3667467375806,30-34
