regiao,faixa_etaria,taxa,RMSE_LC,RMSE_LM,MAE_LC,MAE_LM,SMAPE_LC,SMAPE_LM
Sul,0,Homens,0.008172992921146439,0.008072362306863333,0.008150349240167663,0.008049638971962886,59.519150382626826,58.56689368729886
Sul,1-4,Homens,3.7516571339896664e-4,3.7075461871170426e-4,3.750069507183736e-4,3.705963550645081e-4,66.3531235094346,65.31862251933846
Sul,5-9,Homens,1.3835963365123278e-4,1.3653067982132523e-4,1.3825124889097845e-4,1.364223764997545e-4,49.61869282895819,48.80201108008171
Sul,10-14,Homens,9.276578007758781e-5,9.124440220172772e-5,9.242626794305602e-5,9.089782761566058e-5,23.71961237451995,23.2818775195098
Sul,15-19,Homens,4.051923690517299e-4,3.9873766271302153e-4,4.031120617033867e-4,3.966111021817316e-4,23.81805412075518,23.480175889142913
Sul,20-24,Homens,2.9295598895667633e-4,2.891919129502358e-4,2.870259528753179e-4,2.831746139995272e-4,12.076771215441232,11.924993795398366
Sul,25-29,Homens,1.1027191153697242e-4,1.0801791102094078e-4,1.080793932434497e-4,1.0577923575697922e-4,4.606334330807478,4.5060666216212475
Sul,30-34,Homens,2.809108249754548e-4,2.757219506127691e-4,2.800112547976357e-4,2.748042583079871e-4,10.932776055717703,10.71862110825915
Sul,35-39,Homens,6.080701566701745e-4,5.978315969025298e-4,6.079241574617782e-4,5.976813919126811e-4,19.722840168277685,19.358472565739543
Sul,40-44,Homens,9.561643608669266e-4,9.410158840380126e-4,9.559172381549379e-4,9.40763435995763e-4,23.49809068533566,23.082675750101888
Sul,45-49,Homens,0.0014042931611410769,0.0013820461230654349,0.0014041452661271102,0.001381898096427649,24.54240624318624,24.106705935186067
Sul,50-54,Homens,0.0023910976000992624,0.0023551947903668632,0.0023867850436490334,0.0023508457532014325,28.670118182308634,28.177077593433207
Sul,55-59,Homens,0.003778027381766845,0.0037235041132880104,0.0037745540195682115,0.0037200094363786336,30.80427888138709,30.29145349462145
Sul,60-64,Homens,0.007326837774961946,0.007225205513520936,0.007323778074740222,0.00722216116722214,40.153567124548864,39.48635067986969
Sul,65-69,Homens,0.010296513569381632,0.010148445787280764,0.010296333920055096,0.010148245494059273,37.306204509297544,36.67158685078943
Sul,70-74,Homens,0.011783502025229025,0.011607701076835517,0.01178316148760029,0.01160734859166487,28.748260341864253,28.258837018059907
Sul,75-79,Homens,0.014564746601715153,0.014335069068452543,0.014559566981773653,0.014329765583099697,23.028323537017876,22.623852602002632
Sul,80-84,Homens,0.020860505075126174,0.020536002360220643,0.020859460219084757,0.0205349571614302,21.166147874176662,20.802638831273796
Sul,85-89,Homens,0.010932932200287739,0.010740894083406593,0.010613967431973001,0.01041604969868589,6.964941674103023,6.830516961578004
Sul,90+,Homens,0.027703821474086843,0.02725675954738428,0.02755735210847019,0.027107293880058773,12.125752217088378,11.93983931541423
Centro-Oeste,0,Homens,0.012132703407293895,0.01233075332759434,0.012108301245024437,0.012307432931937864,64.94923097064884,66.3806058292965
Centro-Oeste,1-4,Homens,3.676162137162127e-4,3.742108626476792e-4,3.673840227268776e-4,3.739809094310166e-4,47.872330787968146,48.94507395428706
Centro-Oeste,5-9,Homens,1.655082383650766e-4,1.6855584208642698e-4,1.6524560420879677e-4,1.6830969601061704e-4,46.96408904501385,48.04933150547519
Centro-Oeste,10-14,Homens,1.1819752073539469e-4,1.20607195605831e-4,1.1801809453740427e-4,1.2044013435355964e-4,24.95050383514357,25.529438266129155
Centro-Oeste,15-19,Homens,3.294298844978442e-4,3.3959549851324364e-4,3.2574389546084163e-4,3.358469663333004e-4,15.537777031431432,15.980498609350125
Centro-Oeste,20-24,Homens,2.0588968867232626e-4,2.1219711110150846e-4,2.0538864191139484e-4,2.117363393554088e-4,6.867931132795416,7.072453812429824
Centro-Oeste,25-29,Homens,2.0490027549072625e-4,2.0833183578376814e-4,2.0207215263993192e-4,2.0559140928060775e-4,6.961306234734332,7.087062941435121
Centro-Oeste,30-34,Homens,5.622160136012331e-4,5.728233415554426e-4,5.602148428639033e-4,5.709446318901058e-4,17.523693069372488,17.890293466050842
Centro-Oeste,35-39,Homens,0.0010237480289205048,0.0010436045183522043,0.0010231425060724408,0.0010430056086227382,27.86436976047914,28.48347290400201
Centro-Oeste,40-44,Homens,0.0014890034826509772,0.001517360799628773,0.0014883745923465436,0.0015167440074835177,31.712414889457996,32.41626239206333
Centro-Oeste,45-49,Homens,0.0020109796468463963,0.0020503817108747688,0.0020108724854523384,0.002050269605170049,31.54150886394656,32.260503053599955
Centro-Oeste,50-54,Homens,0.002438859822198874,0.0024883681015051523,0.0024355851308782836,0.00248532702123306,27.886532604448313,28.539174030029212
Centro-Oeste,55-59,Homens,0.0033523449338174155,0.00341854824306107,0.003351611969349862,0.0034178989747693867,27.242472374692255,27.857515536293647
Centro-Oeste,60-64,Homens,0.005200743364650973,0.005305938526361477,0.00519830913816846,0.005303676495129566,29.0432816435767,29.72095670771271
Centro-Oeste,65-69,Homens,0.006633288378279081,0.006766369901244622,0.0066295213223309815,0.006763036892340747,25.20930790816721,25.783749089700002
Centro-Oeste,70-74,Homens,0.00776620569036048,0.007926413963200657,0.007764796096294928,0.007925083939068813,21.283433433901966,21.771336940871567
Centro-Oeste,75-79,Homens,0.011144464289363182,0.011380527562817168,0.011116691232273634,0.011351796934212443,19.57289573905418,20.02868035437094
Centro-Oeste,80-84,Homens,0.006453957989364932,0.006618130805182742,0.006383863663849725,0.006549507281337415,7.328685005925337,7.5262569956121865
Centro-Oeste,85-89,Homens,0.001444621108560392,0.0015039986297789012,0.0012909585933885276,0.0013604591086206208,0.947399800218163,0.9980444629904659
Centro-Oeste,90+,Homens,0.010672612988005353,0.010938259718525944,0.010564820198937015,0.010837083458233455,5.363078414315944,5.497279163371282
Rondônia,0,Homens,0.027110506164944263,0.02657248933185944,0.026933037374212307,0.026395522062128855,103.45975801023344,100.3449445624572
Rondônia,1-4,Homens,8.917743455044315e-4,8.728431528293617e-4,8.851249115945676e-4,8.661412673820298e-4,92.40880706996874,89.52653830471367
Rondônia,5-9,Homens,2.659007872125367e-4,2.5929041618558645e-4,2.6458094579002425e-4,2.579223433617334e-4,58.60194270565094,56.70846499612566
Rondônia,10-14,Homens,3.5639972711733897e-4,3.4660335663541696e-4,3.5575042614540325e-4,3.459407080194199e-4,62.56089016588358,60.31527324802847
Rondônia,15-19,Homens,4.3043427323558893e-4,4.1719055236399553e-4,4.00630690562329e-4,3.8633026055249044e-4,20.45077775734841,19.64092962553768
Rondônia,20-24,Homens,0.0016206911285422186,0.001576006790147079,0.001612714985150635,0.0015677063776708838,49.51689914870422,47.804905038376326
Rondônia,25-29,Homens,0.0019867367378577382,0.0019338672969858761,0.0019727782819855873,0.0019193617109030104,55.56928142044665,53.66004449000648
Rondônia,30-34,Homens,0.0022062476228205245,0.0021482183979450657,0.002198799824366393,0.002140549235196099,57.883272675584216,55.91990054550372
Rondônia,35-39,Homens,0.0023531572665266153,0.0022922360497457913,0.0023292054168511413,0.0022674267441432404,54.6430733366018,52.80811707080109
Rondônia,40-44,Homens,0.0034289654097497376,0.003339745635616145,0.003418638236273933,0.003329021589850419,63.41901853651526,61.24794926939888
Rondônia,45-49,Homens,0.003344319400494334,0.003252419714369018,0.0033375816698247565,0.003245389141901766,49.31731222412554,47.63157378748023
Rondônia,50-54,Homens,0.003184884820613402,0.0030854931471402916,0.0031773196119258542,0.0030777489197415285,35.37422050542238,34.07535335936823
Rondônia,55-59,Homens,0.004678806412621908,0.0045394329315446465,0.004673973582365419,0.004534436888257364,37.515487419533365,36.192923884868335
Rondônia,60-64,Homens,0.007442700299671492,0.007227562935896883,0.007432443195541356,0.0072171599289480755,40.20709435144554,38.81528247719154
Rondônia,65-69,Homens,0.010577503612019886,0.010254105491931061,0.010575640438133884,0.010252251797075132,38.8907086270415,37.47878297326311
Rondônia,70-74,Homens,0.014564472503906016,0.0141012770950509,0.014538517923737771,0.014073943579447735,38.13075690797629,36.689982703584676
Rondônia,75-79,Homens,0.019254222778304027,0.018622185396580795,0.019200232740239635,0.018565655327971137,32.295179508158625,31.062818215490097
Rondônia,80-84,Homens,0.020078941194793417,0.019368961654297388,0.020060510323250753,0.019349956526254625,21.878432128320352,21.021771301427076
Rondônia,85-89,Homens,0.006517426827195731,0.0062520282085630355,0.005877116684713378,0.005581854924062435,4.218057307392273,4.001219786685533
Rondônia,90+,Homens,0.020963671551342853,0.020322312890734596,0.02066568393732094,0.020013295724194802,10.656101028507452,10.337961759242742
Acre,0,Homens,0.019662228411298284,0.017642269075617303,0.018512231604089352,0.01639109400887124,74.43682425435809,62.78202401591495
Acre,1-4,Homens,4.5496979950974736e-4,3.968365936317359e-4,4.4343356371165995e-4,3.840490974159329e-4,45.337816440426515,38.01765479903255
Acre,5-9,Homens,4.053101280273933e-4,3.663390951123292e-4,4.032081088879093e-4,3.63827033536599e-4,107.96435929628201,92.52961584381929
Acre,10-14,Homens,4.0429750774165826e-4,3.5871660486758123e-4,4.006771995418481e-4,3.5454931725086795e-4,76.9984023738562,65.20489006428505
Acre,15-19,Homens,4.977117107597004e-4,4.5527666144754394e-4,4.696982963804417e-4,4.243027351388459e-4,24.995813146997182,22.27684824230009
Acre,20-24,Homens,0.0011580347449788439,0.0010176694756949395,0.001151509713697743,0.0010101840524329494,44.31227541291408,37.83609817055875
Acre,25-29,Homens,9.704929878346847e-4,8.517772419754531e-4,9.603327674622703e-4,8.406544576081309e-4,34.35535755052654,29.42164655847752
Acre,30-34,Homens,0.0014020929199919342,0.0012383627140223161,0.001385336552553107,0.0012202064336532834,44.806298186972846,38.39883337317274
Acre,35-39,Homens,0.002387565113377646,0.002135996348586428,0.0023635722543019844,0.0021096499503330595,62.65519306019532,54.063541946586
Acre,40-44,Homens,0.002365789374189506,0.0020691376051435,0.0023560809834138243,0.002056872735920554,53.60998038723902,45.26665920351747
Acre,45-49,Homens,0.002348448988897472,0.0020163436824580426,0.0023391710594557434,0.002005814018071499,37.89203851381029,31.631548054881463
Acre,50-54,Homens,0.0017336421620802816,0.0014887629654118748,0.0017271903428337464,0.0014812744498557751,21.681246896431148,18.30975659478612
Acre,55-59,Homens,0.0010053039935089745,9.591889028546538e-4,9.140523015143641e-4,8.782577556272217e-4,7.563594828500239,7.256314034242604
Acre,60-64,Homens,0.00589841231954746,0.005098577434119525,0.00585644852517371,0.005052742412322354,35.034326482389474,29.498633678152757
Acre,65-69,Homens,0.0012270346783936474,9.968459698730377e-4,0.0011201097843315695,8.6351423917134e-4,4.582519126238592,3.511004593748806
Acre,70-74,Homens,0.008955072270553371,0.007514662140020378,0.008920111333092246,0.00746925793541772,25.50077167956847,20.922155998249586
Acre,75-79,Homens,0.00811982380334346,0.006684619486758973,0.00776658976158257,0.006240777406576508,14.006437787399706,11.093146462183238
Acre,80-84,Homens,0.003325982630739631,0.002500408621027408,0.0031759322116931867,0.0022996105724991042,3.6300413131263145,2.6128442421306515
Acre,85-89,Homens,0.011289018446723332,0.009994068225179627,0.011240840422301737,0.009939909241452834,8.027718651899121,7.1323247261056
Acre,90+,Homens,0.027726915415515304,0.023685400337221777,0.027687321275842412,0.02363903676493146,13.514904247901912,11.654400642500224
Amazonas,0,Homens,0.025830066948629285,0.02536237591605908,0.025736848884099963,0.02527227383517177,92.10690147949504,89.7054024863455
Amazonas,1-4,Homens,8.930455135127814e-4,8.741463874873338e-4,8.913305891097975e-4,8.725174741832604e-4,67.77861996088765,65.8809510100858
Amazonas,5-9,Homens,3.468691492435728e-4,3.394590316125887e-4,3.45859626319294e-4,3.384569460267033e-4,68.42162533208753,66.47408699818787
Amazonas,10-14,Homens,2.3817326940893353e-4,2.3240753532623648e-4,2.3609382432327673e-4,2.3033983141976185e-4,44.888957405134015,43.55296671382965
Amazonas,15-19,Homens,8.38161230545975e-5,8.522542014738979e-5,6.991125191118118e-5,7.185782466998832e-5,3.4944237139713423,3.593269084270951
Amazonas,20-24,Homens,4.312660675244326e-4,4.163079339793518e-4,3.8758032920343155e-4,3.7044136266921747e-4,12.733064712698086,12.209262185588187
Amazonas,25-29,Homens,1.4949592797423617e-4,1.4234558331808342e-4,1.4528930475640267e-4,1.3782904248977853e-4,4.722319525140001,4.485282350394582
Amazonas,30-34,Homens,4.432604987105187e-4,4.335917401672568e-4,4.2430251334604427e-4,4.143768587157357e-4,13.332487716277653,12.998008041954085
Amazonas,35-39,Homens,0.0010789401770785684,0.001051140200744873,0.0010725154375811198,0.0010446993728984218,30.19873218184943,29.29995148559631
Amazonas,40-44,Homens,0.0018817379363959988,0.001835005321434298,0.0018793617431353566,0.0018324815138277665,41.1179175978395,39.890153055096356
Amazonas,45-49,Homens,0.002415505784274387,0.002352898718994644,0.002414582660948233,0.002352068820408208,39.7609106426112,38.53532547487368
Amazonas,50-54,Homens,0.0031583914102856036,0.003077225706145496,0.003143783206599458,0.003062751463604036,37.35726473118964,36.21942219398169
Amazonas,55-59,Homens,0.004449240579363964,0.00432985035221826,0.004448721527505589,0.0043292144940253905,36.138349727995696,35.00004829447558
Amazonas,60-64,Homens,0.0062814437794414205,0.00612323592664418,0.006279621785959655,0.006121545837275026,34.575211852513746,33.56030463426857
Amazonas,65-69,Homens,0.010068672320261481,0.009806616402558343,0.010054280533980366,0.00979111133004688,37.4697790273841,36.31325149620797
