regiao,Faixa_Etaria,taxa,ano,previsto,previsao_lee_carter_2_1$lmt_inf,previsao_lee_carter_3_1$lmt_max
Piauí,60-64,Mulheres,2055,0.002665992870795852,0.0016099107013002902,0.004414852315345021
Piauí,60-64,Mulheres,2056,0.0025896788206719386,0.0015468931292737513,0.004335423221761544
Piauí,60-64,Mulheres,2057,0.002515549260352973,0.0014863504628630042,0.004257399744790625
Piauí,60-64,Mulheres,2058,0.0024435416588148456,0.0014281847080443186,0.004180758836537211
Piauí,60-64,Mulheres,2059,0.0023735952749841176,0.0013723018370137875,0.004105477656203363
Piauí,60-64,Mulheres,2060,0.0023056511065006687,0.0013186116173499825,0.004031533588026015
Piauí,60-64,Mulheres,2061,0.002239651839947033,0.0012670274498807344,0.003958904256297124
Piauí,60-64,Mulheres,2062,0.0021755418025024035,0.0012174662146260226,0.003887567537871488
Piauí,60-64,Mulheres,2063,0.0021132669149805643,0.0011698481242586028,0.003817501572506904
Piauí,60-64,Mulheres,2064,0.002052774646212083,0.0011240965845832008,0.003748684771330027
Piauí,60-64,Mulheres,2065,0.001994013968732339,0.0010801380615856552,0.0036810958236790092
Piauí,60-64,Mulheres,2066,0.0019369353157379682,0.00103790195464684,0.003614713702538031
Piauí,60-64,Mulheres,2067,0.001881490539275425,9.973204755537584e-4,0.003549517668748709
Piauí,60-64,Mulheres,2068,0.0018276328696264174,9.583285329727574e-4,0.003485487274157831
Piauí,60-64,Mulheres,2069,0.001775316875855905,9.208636220782972e-4,0.003422602363839269
Piauí,60-64,Mulheres,2070,0.0017244984274894409,8.848657190556515e-4,0.0033608430775093926
Piauí,65-69,Mulheres,2024,0.010182967996627176,0.00874573204916567,0.011856393111223369
Piauí,65-69,Mulheres,2025,0.00990220535885393,0.008407039577271638,0.011663281713815511
Piauí,65-69,Mulheres,2026,0.009629183849089295,0.008082660295928246,0.011471616795063333
Piauí,65-69,Mulheres,2027,0.009363690030590668,0.0077717366886540865,0.011281737210292363
Piauí,65-69,Mulheres,2028,0.009105516351448165,0.007473522699921282,0.011093888565744664
Piauí,65-69,Mulheres,2029,0.008854460982329183,0.007187356297086206,0.010908249994420667
Piauí,65-69,Mulheres,2030,0.008610327658696784,0.0069126408818785574,0.010724952106867055
Piauí,65-69,Mulheres,2031,0.008372925527378255,0.006648832281173272,0.010544089386272104
Piauí,65-69,Mulheres,2032,0.008142068997364187,0.006395429379028501,0.010365728965004912
Piauí,65-69,Mulheres,2033,0.00791757759472118,0.006151967196918204,0.01018991697482296
Piauí,65-69,Mulheres,2034,0.007699275821504908,0.005918011663309327,0.010016683228782552
Piauí,65-69,Mulheres,2035,0.007486993018563229,0.0056931555760396275,0.009846044730611153
Piauí,65-69,Mulheres,2036,0.007280563232121992,0.005477015424402701,0.009678008343879604
Piauí,65-69,Mulheres,2037,0.0070798250840494,0.00526922884251173,0.009512572848675524
Piauí,65-69,Mulheres,2038,0.006884621645697311,0.005069452534171948,0.00934973054484788
Piauí,65-69,Mulheres,2039,0.006694800315221075,0.004877360555511365,0.009189468514899445
Piauí,65-69,Mulheres,2040,0.006510212698281768,0.004692642873067191,0.009031769628181191
Piauí,65-69,Mulheres,2041,0.006330714492037784,0.004515004136894818,0.008876613346197453
Piauí,65-69,Mulheres,2042,0.006156165372334913,0.004344162623718458,0.008723976373401896
Piauí,65-69,Mulheres,2043,0.0059864288840067986,0.004179849316220313,0.008573833186809059
Piauí,65-69,Mulheres,2044,0.005821372334200067,0.004021807092613788,0.008426156469719117
Piauí,65-69,Mulheres,2045,0.0056608666886405826,0.0038697900065663756,0.00828091746895439
Piauí,65-69,Mulheres,2046,0.005504786470759915,0.0037235626419422985,0.008138086290621625
Piauí,65-69,Mulheres,2047,0.005353009663603013,0.003582899530147052,0.007997632146121376
Piauí,65-69,Mulheres,2048,0.0052054176144404685,0.0034475846203711616,0.007859523557629146
Piauí,65-69,Mulheres,2049,0.00506189494201081,0.0033174107949585246,0.007723728530362777
Piauí,65-69,Mulheres,2050,0.004922329446320286,0.003192179423615764,0.00759021469747692
Piauí,65-69,Mulheres,2051,0.004786612020929618,0.0030716999513415596,0.007458949442279126
Piauí,65-69,Mulheres,2052,0.004654636567659175,0.002955789515868625,0.007329900001564574
Piauí,65-69,Mulheres,2053,0.004526299913645864,0.0028442725911345754,0.007203033553158192
Piauí,65-69,Mulheres,2054,0.004401501730686932,0.002736980653874943,0.0070783172901905545
Piauí,65-69,Mulheres,2055,0.004280144456807598,0.0026337518708949782,0.006955718484184924
Piauí,65-69,Mulheres,2056,0.004162133219991197,0.0025344308049515215,0.006835204538671805
Piauí,65-69,Mulheres,2057,0.00404737576401221,0.002438868137481091,0.006716743034755579
