regiao,Faixa_Etaria,Sexo,ano,previsto,lmt_inf,lmt_max
Bahia,90+,Mulheres,2039,0.18836940016771705,0.20042507846407553,0.17703887752702338
Bahia,90+,Mulheres,2040,0.18919617863302093,0.20185384204257406,0.1773322402344376
Bahia,90+,Mulheres,2041,0.19002658593947463,0.20328901860959311,0.17762938505380008
Bahia,90+,Mulheres,2042,0.1908606380145468,0.2047310398034591,0.17792994739972195
Bahia,90+,Mulheres,2043,0.19169835085561382,0.20618028142325032,0.1782336189818491
Bahia,90+,Mulheres,2044,0.19253974053026682,0.20763707413548643,0.17854013710129968
Bahia,90+,Mulheres,2045,0.19338482317661965,0.20910171177723869,0.17884927635070316
Bahia,90+,Mulheres,2046,0.1942336150036185,0.2105744578732946,0.17916084210020636
Bahia,90+,Mulheres,2047,0.1950861322913528,0.2120555508075697,0.1794746653292541
Bahia,90+,Mulheres,2048,0.1959423913913675,0.21354520796751708,0.17979059848539414
Bahia,90+,Mulheres,2049,0.19680240872697666,0.21504362909569347,0.18010851213594783
Bahia,90+,Mulheres,2050,0.19766620079357838,0.21655099902276576,0.1804282922382624
Bahia,90+,Mulheres,2051,0.19853378415897138,0.2180674899132429,0.18074983789726004
Bahia,90+,Mulheres,2052,0.19940517546367262,0.2195932631239217,0.18107305951029642
Bahia,90+,Mulheres,2053,0.20028039142123644,0.22112847075197278,0.18139787722240108
Bahia,90+,Mulheres,2054,0.20115944881857528,0.22267325693241255,0.18172421963215496
Bahia,90+,Mulheres,2055,0.2020423645162816,0.2242277589317636,0.18205202270140242
Bahia,90+,Mulheres,2056,0.20292915544895124,0.22579210807486882,0.18238122883183294
Bahia,90+,Mulheres,2057,0.20381983862550815,0.22736643053427294,0.18271178607901886
Bahia,90+,Mulheres,2058,0.20471443112953083,0.2289508480057438,0.18304364748033627
Bahia,90+,Mulheres,2059,0.20561295011957986,0.23054547828894967,0.18337677047775436
Bahia,90+,Mulheres,2060,0.20651541282952698,0.23215043578872696,0.18371111642005775
Bahia,90+,Mulheres,2061,0.20742183656888577,0.23376583194954242,0.18404665013189828
Bahia,90+,Mulheres,2062,0.20833223872314363,0.23539177563349575,0.18438333953933111
Bahia,90+,Mulheres,2063,0.20924663675409497,0.23702837345040165,0.18472115534329495
Bahia,90+,Mulheres,2064,0.21016504820017654,0.23867573004703335,0.18506007073395578
Bahia,90+,Mulheres,2065,0.21108749067680366,0.24033394836142832,0.18540006114001348
Bahia,90+,Mulheres,2066,0.21201398187670784,0.24200312984719372,0.18574110400803245
Bahia,90+,Mulheres,2067,0.21294453957027654,0.24368337467196313,0.18608317860764698
Bahia,90+,Mulheres,2068,0.2138791816058938,0.2453747818935065,0.1864262658591382
Bahia,90+,Mulheres,2069,0.21481792591028262,0.24707744961645922,0.1867703481804176
Bahia,90+,Mulheres,2070,0.21576079048884864,0.24879147513219302,0.18711540935089313
Minas Gerais,0,Mulheres,2024,0.009022937561971962,0.0074349415824628605,0.010950106513180692
Minas Gerais,0,Mulheres,2025,0.008667161134723395,0.006554381451284288,0.011460987233286613
Minas Gerais,0,Mulheres,2026,0.00832541305082936,0.005872807095064688,0.011802278083536524
Minas Gerais,0,Mulheres,2027,0.007997140169603158,0.005303889607358249,0.012057990574229651
Minas Gerais,0,Mulheres,2028,0.007681811160817954,0.00481298314379434,0.012260633571208879
Minas Gerais,0,Mulheres,2029,0.007378915644715472,0.004381533016494905,0.012426791236502852
Minas Gerais,0,Mulheres,2030,0.007087963365924393,0.003997954915799534,0.012566230919249643
Minas Gerais,0,Mulheres,2031,0.006808483399951297,0.0036542805338968015,0.012685245639305223
Minas Gerais,0,Mulheres,2032,0.006540023390959895,0.003344651883996465,0.012788148793289416
Minas Gerais,0,Mulheres,2033,0.00628214881960475,0.0030645510831115255,0.012878034244281881
Minas Gerais,0,Mulheres,2034,0.00603444229973449,0.0028103675571853662,0.01295719977115542
Minas Gerais,0,Mulheres,2035,0.005796502902826156,0.002579136796590047,0.013027399689266144
Minas Gerais,0,Mulheres,2036,0.0055679455090573,0.0023683734252060423,0.01309000382367247
Minas Gerais,0,Mulheres,2037,0.005348400183965394,0.002175959434657409,0.013146101931971365
Minas Gerais,0,Mulheres,2038,0.0051375115796857395,0.0020000663600507826,0.013196574753017132
Minas Gerais,0,Mulheres,2039,0.00493493835979866,0.0018390992422497323,0.013242143792752039
Minas Gerais,0,Mulheres,2040,0.004740352646855153,0.0016916550895126718,0.013283407093948468
Minas Gerais,0,Mulheres,2041,0.004553439491686669,0.0015564912965230692,0.013320865494569418
Minas Gerais,0,Mulheres,2042,0.004373896363640157,0.0014325010933160152,0.013354942267848061
Minas Gerais,0,Mulheres,2043,0.004201432660913253,0.0013186940810167394,0.013385998055423535
Minas Gerais,0,Mulheres,2044,0.004035769240197032,0.0012141805307460873,0.01341434238787561
Minas Gerais,0,Mulheres,2045,0.0038766379648651037,0.0011181585227984818,0.01344024268850645
Minas Gerais,0,Mulheres,2046,0.003723781270977664,0.0010299032689483156,0.013463931392550895
Minas Gerais,0,Mulheres,2047,0.003576951750398114,9.48758140918634e-4,0.013485611635740778
Minas Gerais,0,Mulheres,2048,0.0034359117503475075,8.741270526814764e-4,0.013505461843288678
Minas Gerais,0,Mulheres,2049,0.003300432988748625,8.054679320655952e-4,0.013523639464188008
Minas Gerais,0,Mulheres,2050,0.003170296184737131,7.42287080054988e-4,0.013540284034331104
Minas Gerais,0,Mulheres,2051,0.0030452907037417593,6.841342619359862e-4,0.013555519707568336
Minas Gerais,0,Mulheres,2052,0.0029252142165590495,6.305984082418328e-4,0.013569457361328504
Minas Gerais,0,Mulheres,2053,0.0028098723718708724,5.813038287273522e-4,0.013582196359326577
Minas Gerais,0,Mulheres,2054,0.002699078481674632,5.359068617651159e-4,0.013593826035823391
Minas Gerais,0,Mulheres,2055,0.002592653219117034,4.940928962464881e-4,0.01360442695222354
Minas Gerais,0,Mulheres,2056,0.0024904243282423463,4.555737144651954e-4,0.01361407196633854
Minas Gerais,0,Mulheres,2057,0.0023922263451853372,4.200851133927885e-4,0.013622827146573774
Minas Gerais,0,Mulheres,2058,0.002297900330357642,3.8738476882831406e-4,0.013630752557021607
Minas Gerais,0,Mulheres,2059,0.002207293611194083,3.5725031255976375e-4,0.01363790293452342
Minas Gerais,0,Mulheres,2060,0.002120259535042548,3.2947759723839785e-4,0.013644328274878312
Minas Gerais,0,Mulheres,2061,0.0020366572317974964,3.0387912738193997e-4,0.013650074342287854
Minas Gerais,0,Mulheres,2062,0.0019563513858928626,2.8028263797191176e-4,0.01365518311365568
Minas Gerais,0,Mulheres,2063,0.001879212017285326,2.585298046331768e-4,0.013659693167371055
Minas Gerais,0,Mulheres,2064,0.0018051142710734786,2.38475071486637e-4,0.013663640024595695
Minas Gerais,0,Mulheres,2065,0.001733938215412337,2.1998458453133918e-4,0.013667056449762318
Minas Gerais,0,Mulheres,2066,0.0016655686473961385,2.029352199041357e-4,0.013669972715921203
Minas Gerais,0,Mulheres,2067,0.0015998949065952192,1.872136976338307e-4,0.013672416839689524
Minas Gerais,0,Mulheres,2068,0.0015368106959451776,1.7271577259218336e-4,0.013674414789830185
Minas Gerais,0,Mulheres,2069,0.0014762139096984085,1.5934549527794154e-4,0.01367599067288308
Minas Gerais,0,Mulheres,2070,0.0014180064681595644,1.470145358775575e-4,0.013677166898768597
Minas Gerais,1-4,Mulheres,2024,3.8767361850267014e-4,3.3255305020075883e-4,4.519304044639639e-4
Minas Gerais,1-4,Mulheres,2025,3.755127354157065e-4,3.0094572816406035e-4,4.6855562735389626e-4
Minas Gerais,1-4,Mulheres,2026,3.6373332548140705e-4,2.7587265766762314e-4,4.7957609566789033e-4
Minas Gerais,1-4,Mulheres,2027,3.523234223182868e-4,2.544780403548341e-4,4.8778980591404104e-4
Minas Gerais,1-4,Mulheres,2028,3.4127143491671964e-4,2.3563121685584175e-4,4.942731860582394e-4
Minas Gerais,1-4,Mulheres,2029,3.3056613586394484e-4,2.187348935407673e-4,4.995726489319986e-4
Minas Gerais,1-4,Mulheres,2030,3.2019664993844597e-4,2.0342091939448134e-4,5.04008609030921e-4
Minas Gerais,1-4,Mulheres,2031,3.10152443062109e-4,1.8943886485644023e-4,5.077867100306617e-4
Minas Gerais,1-4,Mulheres,2032,3.0042331159894144e-4,1.7660624593403791e-4,5.110474189332159e-4
Minas Gerais,1-4,Mulheres,2033,2.909993719894735e-4,1.6478320416831759e-4,5.1389117553371e-4
Minas Gerais,1-4,Mulheres,2034,2.818710507103217e-4,1.5385837291783636e-4,5.163923660558229e-4
Minas Gerais,1-4,Mulheres,2035,2.7302907454870645e-4,1.4374041188605402e-4,5.186076383864561e-4
Minas Gerais,1-4,Mulheres,2036,2.644644611820481e-4,1.343526460089028e-4,5.205811221885167e-4
Minas Gerais,1-4,Mulheres,2037,2.5616851005307164e-4,1.256295121252104e-4,5.223478499017603e-4
Minas Gerais,1-4,Mulheres,2038,2.48132793531145e-4,1.1751411223361505e-4,5.239360792954848e-4
Minas Gerais,1-4,Mulheres,2039,2.4034914835088092e-4,1.0995647283354538e-4,5.253689175756288e-4
Minas Gerais,1-4,Mulheres,2040,2.3280966731929731e-4,1.0291227096040664e-4,5.266654859669194e-4
Minas Gerais,1-4,Mulheres,2041,2.2550669128311576e-4,9.634187821371596e-5,5.278417730309365e-4
Minas Gerais,1-4,Mulheres,2042,2.1843280134803587e-4,9.020962730516493e-5,5.289112717797339e-4
Minas Gerais,1-4,Mulheres,2043,2.115808113420844e-4,8.448323803921084e-5,5.298854632844146e-4
Minas Gerais,1-4,Mulheres,2044,2.049437605153767e-4,7.913335996945845e-5,5.307741891712256e-4
Minas Gerais,1-4,Mulheres,2045,1.9851490646888208e-4,7.413320209286725e-5,5.315859423012917e-4
Minas Gerais,1-4,Mulheres,2046,1.9228771830500388e-4,6.945822861790466e-5,5.323280962770397e-4
Minas Gerais,1-4,Mulheres,2047,1.8625586999301984e-4,6.508590570439216e-5,5.330070885764092e-4
Minas Gerais,1-4,Mulheres,2048,1.804132339426378e-4,6.0995488112348386e-5,5.33628568094884e-4
Minas Gerais,1-4,Mulheres,2049,1.7475387477914535e-4,5.716783753094833e-5,5.341975150589296e-4
Minas Gerais,1-4,Mulheres,2050,1.6927204331382376e-4,5.3585266379199314e-5,5.347183392702055e-4
Minas Gerais,1-4,Mulheres,2051,1.6396217070350423e-4,5.023140233210716e-5,5.351949611930593e-4
Minas Gerais,1-4,Mulheres,2052,1.5881886279333132e-4,4.7091069898875215e-5,5.356308793393865e-4
Minas Gerais,1-4,Mulheres,2053,1.5383689463698935e-4,4.415018617683387e-5,5.360292266212438e-4
Minas Gerais,1-4,Mulheres,2054,1.4901120518882015e-4,4.1395668504221475e-5,5.363928177548404e-4
Minas Gerais,1-4,Mulheres,2055,1.4433689216244574e-4,3.881535219071315e-5,5.367241893556216e-4
Minas Gerais,1-4,Mulheres,2056,1.3980920705066905e-4,3.6397916854791535e-5,5.370256340250868e-4
Minas Gerais,1-4,Mulheres,2057,1.3542355030159468e-4,3.413282016879611e-5,5.372992294687212e-4
Minas Gerais,1-4,Mulheres,2058,1.311754666460703e-4,3.2010238025341834e-5,5.375468634813611e-4
Minas Gerais,1-4,Mulheres,2059,1.2706064057169887e-4,3.0021010307014458e-5,5.377702554773204e-4
Minas Gerais,1-4,Mulheres,2060,1.2307489193882806e-4,2.8156591575326268e-5,5.37970975117171e-4
Minas Gerais,1-4,Mulheres,2061,1.1921417173406021e-4,2.6409006102659177e-5,5.38150458483439e-4
Minas Gerais,1-4,Mulheres,2062,1.1547455795696962e-4,2.4770806758176585e-5,5.383100221778611e-4
Minas Gerais,1-4,Mulheres,2063,1.1185225163585016e-4,2.323503732988735e-5,5.384508756487632e-4
Minas Gerais,1-4,Mulheres,2064,1.0834357296844221e-4,2.1795197923563888e-5,5.385741320053464e-4
Minas Gerais,1-4,Mulheres,2065,1.0494495758372258e-4,2.044521312764988e-5,5.386808175335116e-4
