LOCAL,SEXO,IDADE,ANO,Previsao,Lower_95,Upper_95
Goiás,Ambos,45-49,2060,0.0014458480294209,0.0012174254079118,0.0015876970221607
Goiás,Ambos,45-49,2061,0.0014084853371149,0.0011800627156058,0.0015503343298548
Goiás,Ambos,45-49,2062,0.0013720882097701,0.0011436655882611,0.00151393720251
Goiás,Ambos,45-49,2063,0.0013366316926695,0.0011082090711605,0.0014784806854094
Goiás,Ambos,45-49,2064,0.0013020914760842,0.0010736688545751,0.001443940468824
Goiás,Ambos,45-49,2065,0.0012684438786012,0.0010400212570922,0.0014102928713411
Goiás,Ambos,45-49,2066,0.0012356658308837,0.0010072432093747,0.0013775148236236
Goiás,Ambos,45-49,2067,0.0012037348598493,0.0009753122383402,0.0013455838525891
Goiás,Ambos,45-49,2068,0.0011726290732585,0.0009442064517495,0.0013144780659984
Goiás,Ambos,45-49,2069,0.0011423271447013,0.0009139045231923,0.0012841761374412
Goiás,Ambos,45-49,2070,0.0011128082989715,0.0008843856774625,0.0012546572917114
Goiás,Ambos,50-54,2020,0.0058954117060541,0.0057943162376044,0.0060019187460369
Goiás,Ambos,50-54,2021,0.0057781821387379,0.0056770866702881,0.0058846891787206
Goiás,Ambos,50-54,2022,0.0056652404688992,0.0055641450004495,0.005771747508882
Goiás,Ambos,50-54,2023,0.0055563746002528,0.005455279131803,0.0056628816402355
Goiás,Ambos,50-54,2024,0.0054513869209256,0.0053502914524759,0.0055578939609084
Goiás,Ambos,50-54,2025,0.0053500930389735,0.0052489975705238,0.0054566000789563
Goiás,Ambos,50-54,2026,0.0052523206476504,0.0051512251792006,0.0053588276876331
Goiás,Ambos,50-54,2027,0.0051579085055138,0.005056813037064,0.0052644155454965
Goiás,Ambos,50-54,2028,0.0050667055183279,0.0049656100498782,0.0051732125583107
Goiás,Ambos,50-54,2029,0.0049785699113462,0.0048774744428964,0.0050850769513289
Goiás,Ambos,50-54,2030,0.004893368481959,0.0047922730135092,0.0049998755219417
Goiás,Ambos,50-54,2031,0.0048109759239113,0.0047098804554616,0.0049174829638941
Goiás,Ambos,50-54,2032,0.0047312742153493,0.0046301787468995,0.004837781255332
Goiás,Ambos,50-54,2033,0.0046541520638755,0.0045530565954257,0.0047606591038582
Goiás,Ambos,50-54,2034,0.004579504402595,0.0044784089341453,0.0046860114425778
Goiás,Ambos,50-54,2035,0.0045072319318312,0.0044061364633815,0.004613738971814
Goiás,Ambos,50-54,2036,0.004437240701803,0.0043361452333533,0.0045437477417858
