LOCAL,SEXO,IDADE,RMSE,MAE,sMAPE
Sul,Mulheres,15-19,5.32534350572983e-05,5.1556440262755e-05,11.6320559876779
Sul,Mulheres,20-24,7.19928610146474e-05,7.053598551839e-05,13.3992392229191
Sul,Mulheres,25-29,0.000104156801305,0.0001003242377091,15.5608640248828
Sul,Mulheres,30-34,9.79121271832104e-05,9.6444475087975e-05,11.1975059817971
Sul,Mulheres,35-39,0.0001319564302415,0.0001284479477538,10.2498233162639
Sul,Mulheres,40-44,0.0001366920066315,0.0001270089460764,7.04130317399562
Sul,Mulheres,45-49,0.0001659869160682,0.0001641002395112,6.19878154258569
Sul,Mulheres,50-54,0.0002892205839364,0.0002883064408148,7.42397904210032
Sul,Mulheres,55-59,0.0005819172972528,0.0005775407449097,9.79110744276458
Sul,Mulheres,60-64,0.0003783083903279,0.0003456493808549,3.84532013171699
Sul,Mulheres,65-69,0.0018605203852635,0.0018510587762891,12.8593161994065
Sul,Mulheres,70-74,0.0016534717249502,0.0016528624928063,7.82208801611198
Sul,Mulheres,75-79,0.0026530059485283,0.0026494850913919,7.04351592798615
Sul,Mulheres,80-84,0.0044130510363349,0.0043974069960183,6.53506364696182
Sul,Mulheres,85-89,0.0065949151883116,0.0063491034491847,5.34028599370721
Sul,Mulheres,90+,0.0088815575874177,0.0086636827625743,4.34529815891136
Sul,Homens,0,0.0007945573004255,0.0005363246141103,4.72960677424644
Sul,Homens,1-4,2.29712870688732e-05,1.85327317696305e-05,4.00228241914822
Sul,Homens,5-9,4.45182593846925e-05,4.36182732265031e-05,19.3817935320398
Sul,Homens,10-14,0.0001099257213056,0.0001080989031041,31.4679514063532
Sul,Homens,15-19,0.0003394918980469,0.000294059171689,18.2295974028411
Sul,Homens,20-24,0.0002283771710245,0.0001992765869116,8.8103206786884
Sul,Homens,25-29,0.0003664710007024,0.0003544246281091,15.7750379268747
Sul,Homens,30-34,0.0004379260046093,0.0004237652984524,17.7980312089593
Sul,Homens,35-39,0.0005391576261329,0.0005307536911153,18.7730310024421
Sul,Homens,40-44,0.0006540878910426,0.0006411769203045,17.2600432883499
Sul,Homens,45-49,0.0008539169820854,0.0008477444038514,16.4469545240688
Sul,Homens,50-54,0.0007502216714684,0.0007469881792464,10.0724218853863
Sul,Homens,55-59,0.0009147666442797,0.0009129205807582,8.3376613531014
Sul,Homens,60-64,0.0005262165142924,0.0004595140588068,2.81214806367869
Sul,Homens,65-69,0.0020330067924604,0.0020165563597535,8.22887021743694
Sul,Homens,70-74,0.0049063527372051,0.0048897787532695,13.1125517709995
Sul,Homens,75-79,0.0053224772224224,0.0053193053939549,9.16807772249946
Sul,Homens,80-84,0.0095542132174127,0.0094930060632107,10.3221870335039
Sul,Homens,85-89,0.0067126656829489,0.0062175211023918,4.27542803850843
Sul,Homens,90+,0.0018712884072653,0.0015515796954216,0.66699374905863
Sul,Ambos,0,0.0006778340869816,0.0004733671884057,4.54391939535837
Sul,Ambos,1-4,2.44362143371583e-05,2.24406506149084e-05,5.36566346996622
Sul,Ambos,5-9,2.8994808036739e-05,2.74277510128406e-05,13.4483178512417
Sul,Ambos,10-14,6.3778784570617e-05,6.29614335206981e-05,21.8267318299448
Sul,Ambos,15-19,0.0001803914405793,0.0001583056739047,15.3926078491489
Sul,Ambos,20-24,0.0001229032102628,0.0001100388622676,7.93126538666866
Sul,Ambos,25-29,0.0002318083754709,0.0002232079715052,15.4501270876046
Sul,Ambos,30-34,0.0002532677900411,0.0002459511844423,15.2582987762825
Sul,Ambos,35-39,0.0003181661374768,0.0003131691624016,15.4852097233528
Sul,Ambos,40-44,0.0003528141993181,0.0003445267772178,12.6501064893775
Sul,Ambos,45-49,0.0004797297738836,0.0004784155998011,12.4090614672759
Sul,Ambos,50-54,0.0004886754486626,0.0004880731901746,8.76212685006123
Sul,Ambos,55-59,0.000717763102763,0.0007166702575764,8.64630788343069
Sul,Ambos,60-64,0.0005850696716153,0.0005727191484111,4.59965158672253
Sul,Ambos,65-69,0.0019095878509004,0.0018986344639126,9.96308409647005
Sul,Ambos,70-74,0.0028919795670962,0.0028891963474049,10.2154825776409
Sul,Ambos,75-79,0.0035396216406552,0.0035374633997909,7.66268176568411
Sul,Ambos,80-84,0.0055222864094906,0.0055095767972361,7.1964958306203
Sul,Ambos,85-89,0.0066131693565368,0.0062879156178547,4.90278787365522
Sul,Ambos,90+,0.0034312006210085,0.0032953929567806,1.58258194864498
Centro-Oeste,Mulheres,0,0.0016991394837359,0.001692949029942,14.3463046208578
Centro-Oeste,Mulheres,1-4,1.34416750871677e-05,1.01948285859257e-05,2.06636865896868
Centro-Oeste,Mulheres,5-9,3.25657455424364e-05,3.24519694284883e-05,13.8127058980419
Centro-Oeste,Mulheres,10-14,2.8788828427364e-05,2.75037851127492e-05,10.3217179682802
Centro-Oeste,Mulheres,15-19,6.15236427021954e-05,5.52731130209404e-05,11.2737637934675
Centro-Oeste,Mulheres,20-24,7.81492277399274e-05,7.71126739142318e-05,12.7111963806236
Centro-Oeste,Mulheres,25-29,9.45499154256102e-05,9.43885858207803e-05,13.6331126338611
Centro-Oeste,Mulheres,30-34,0.0001196038718649,0.000117481943049,12.5839403666763
Centro-Oeste,Mulheres,35-39,8.9159684635451e-05,8.87979272177328e-05,7.02053883288529
Centro-Oeste,Mulheres,40-44,0.0002723767018312,0.000266571287378,14.5612791429467
Centro-Oeste,Mulheres,45-49,0.0002277879425071,0.0002235753723304,8.38826671919925
Centro-Oeste,Mulheres,50-54,0.0005687208723023,0.0005677428509604,13.9446318145332
Centro-Oeste,Mulheres,55-59,0.0006605276275837,0.000658980098319,11.0800129264354
Centro-Oeste,Mulheres,60-64,0.000449159576958,0.000443097414188,4.84444593885154
Centro-Oeste,Mulheres,65-69,0.0019543740839778,0.0019524828507089,13.204060951235
Centro-Oeste,Mulheres,70-74,0.0017873083772048,0.00178344729236,8.43195914586395
Centro-Oeste,Mulheres,75-79,0.0031586202019325,0.0031532595123304,8.39991165192783
Centro-Oeste,Mulheres,80-84,0.0054902867498111,0.0054829475328975,8.23639321821213
Centro-Oeste,Mulheres,85-89,0.0092698496684068,0.0092152403109785,7.85541508170371
Centro-Oeste,Mulheres,90+,0.004636804810414,0.004611872153913,2.44413928149996
Centro-Oeste,Homens,0,0.0011244430019872,0.0010055914642779,7.29967590355258
Centro-Oeste,Homens,1-4,5.01576489453442e-05,4.93417763348427e-05,8.16174821539914
Centro-Oeste,Homens,5-9,6.34028808979983e-05,6.33326200483557e-05,22.4479614794176
Centro-Oeste,Homens,10-14,9.20142959621277e-05,9.06658140087889e-05,22.0601479654405
Centro-Oeste,Homens,15-19,0.0003124039239606,0.0002518854677862,13.0631985576135
Centro-Oeste,Homens,20-24,0.000527160201199,0.0004917445931352,17.5140990457201
Centro-Oeste,Homens,25-29,0.0005292528433865,0.0005143869167615,18.9794751101592
Centro-Oeste,Homens,30-34,0.0007578404503376,0.000737209017638,25.6711867494627
Centro-Oeste,Homens,35-39,0.0004195138458493,0.0004131885176507,12.9910545212394
Centro-Oeste,Homens,40-44,0.0005226179575245,0.000520518929508,13.014568515026
Centro-Oeste,Homens,45-49,0.0007680975429914,0.0007598186440576,14.0558497560143
Centro-Oeste,Homens,50-54,0.0007033462456803,0.0006997910829145,9.2474460668425
Centro-Oeste,Homens,55-59,0.0010719928131875,0.0010617475873437,9.768344344995
Centro-Oeste,Homens,60-64,0.0009506024687944,0.0009429941372321,5.8952385350335
Centro-Oeste,Homens,65-69,0.0012451646697016,0.0012437741791479,5.28582229493814
Centro-Oeste,Homens,70-74,0.0028789360058062,0.0028730185133857,8.67191445549289
Centro-Oeste,Homens,75-79,0.0042091357846921,0.004188155931415,7.95868681418516
Centro-Oeste,Homens,80-84,0.0070050850874629,0.0069852948820008,8.22107942298834
Centro-Oeste,Homens,85-89,0.0120957096141022,0.012088666931697,8.89373796519835
Centro-Oeste,Homens,90+,0.0233743349237605,0.0232746490294648,11.2171956817653
Centro-Oeste,Ambos,0,0.0009900021705611,0.0008765956852835,6.91317610130616
Centro-Oeste,Ambos,1-4,1.9315332844561e-05,1.79795076585358e-05,3.19733018555189
Centro-Oeste,Ambos,5-9,4.53597665074683e-05,4.52903116192827e-05,17.5689143757733
Centro-Oeste,Ambos,10-14,5.4511918191579e-05,5.36449813683284e-05,15.9073270375081
Centro-Oeste,Ambos,15-19,0.0001771263328992,0.000138977708458,11.4959044128091
Centro-Oeste,Ambos,20-24,0.0002648086935256,0.0002510230756291,14.8112407002312
Centro-Oeste,Ambos,25-29,0.000311987373559,0.0003049183166679,17.9155746583697
Centro-Oeste,Ambos,30-34,0.000456802596153,0.0004423018014308,23.2137016686633
Centro-Oeste,Ambos,35-39,0.0002590587235776,0.0002549589054055,11.5553679225187
Centro-Oeste,Ambos,40-44,0.000349235607777,0.000348004542641,12.1294625164108
Centro-Oeste,Ambos,45-49,0.0004746586404557,0.0004731092153029,11.8450715977829
Centro-Oeste,Ambos,50-54,0.0005789852196966,0.0005780159279594,10.0651689938612
Centro-Oeste,Ambos,55-59,0.000841195235773,0.0008381788914883,10.0922794469984
Centro-Oeste,Ambos,60-64,0.0007317860278283,0.0007263457227302,5.83981809115146
Centro-Oeste,Ambos,65-69,0.0016276091407082,0.0016266401673066,8.58634660593187
Centro-Oeste,Ambos,70-74,0.0024627565249736,0.0024607463310754,9.1586766263384
Centro-Oeste,Ambos,75-79,0.0037046449857331,0.0036930695677383,8.29017635204271
Centro-Oeste,Ambos,80-84,0.0060732452812522,0.0060672597694232,8.11567954825557
Centro-Oeste,Ambos,85-89,0.0084026768937204,0.0083754059100242,6.74493351015318
Centro-Oeste,Ambos,90+,0.0120474459227354,0.0120234838042867,6.12322468268451
Rondônia,Mulheres,0,0.0012881845944548,0.0009908583508733,7.66410103786677
Rondônia,Mulheres,1-4,0.0001255177775178,0.0001108705305332,22.6843916835445
Rondônia,Mulheres,5-9,0.0001821621907314,0.0001765565265991,66.221547704216
Rondônia,Mulheres,10-14,1.86512231760102e-05,1.73986599247904e-05,6.47338372145821
Rondônia,Mulheres,15-19,0.0001191769146036,0.000109078240294,21.0915362760278
Rondônia,Mulheres,20-24,0.0001601198691363,0.0001478431517487,24.1473777083568
Rondônia,Mulheres,25-29,0.0002080496663129,0.0002060296166726,29.6180706692847
Rondônia,Mulheres,30-34,0.0002618168727171,0.0002569092365173,23.8233737411714
Rondônia,Mulheres,35-39,0.0001382028146751,0.0001223193694029,9.1153474148447
Rondônia,Mulheres,40-44,0.0002071267395803,0.000183653338294,10.2800887779864
Rondônia,Mulheres,45-49,0.0009129932501151,0.0008990603240819,31.6650184196569
Rondônia,Mulheres,50-54,0.0010658297395448,0.0010654219259613,25.8491575654717
Rondônia,Mulheres,55-59,0.0017269463110755,0.0017183516609962,27.9777508948135
Rondônia,Mulheres,60-64,0.0003494884476732,0.0003279977027349,3.57864046873432
Rondônia,Mulheres,65-69,0.0015796804592075,0.0015559393205793,10.2043592099121
Rondônia,Mulheres,70-74,0.0017577913760924,0.0017547506336518,8.05732531889435
Rondônia,Mulheres,75-79,0.0031689572137349,0.0031343098206912,8.17016280436275
Rondônia,Mulheres,80-84,0.0063654059013277,0.0062559548376205,9.26450294665226
Rondônia,Mulheres,85-89,0.0096514551496999,0.0083478163591718,7.12502196081399
Rondônia,Mulheres,90+,0.0075693627572036,0.0067200474289465,3.42343684746188
Rondônia,Homens,0,0.0008829082448536,0.0005842098809819,4.31963179725099
Rondônia,Homens,1-4,0.0001208589319163,0.0001195371063992,19.4911345351358
Rondônia,Homens,5-9,0.0001202759885514,0.0001156065745841,31.0661734517797
Rondônia,Homens,10-14,6.58829434337939e-05,5.40229085619626e-05,14.200939854828
Rondônia,Homens,15-19,0.0002669740715322,0.0002342379195002,13.5133653818923
Rondônia,Homens,20-24,0.0006731852142254,0.0006529887657877,23.5791876088927
Rondônia,Homens,25-29,0.0007589342108893,0.000729772510583,26.32372396549
Rondônia,Homens,30-34,0.0008662482183065,0.0008404894303011,26.7477836508973
Rondônia,Homens,35-39,0.0008509844969974,0.0008068589014264,24.0512537927976
Rondônia,Homens,40-44,0.0009148181116926,0.0009129747349673,20.953062876881
Rondônia,Homens,45-49,0.0014766183339882,0.0014635583190151,25.668902527756
Rondônia,Homens,50-54,0.0007587528916695,0.0007432581951904,10.0455954723904
Rondônia,Homens,55-59,0.0014362786872975,0.0014259683886084,13.205852827635
Rondônia,Homens,60-64,0.0019256470643481,0.0019026491136728,12.2641768574546
Rondônia,Homens,65-69,0.0023947365877796,0.0023637420364313,9.94086312623306
Rondônia,Homens,70-74,0.0025218528959209,0.002513645674633,7.75492732193603
Rondônia,Homens,75-79,0.0046564702076514,0.0046498810345147,9.02068096603308
Rondônia,Homens,80-84,0.0054864236930459,0.0054697070203157,6.68926161904293
Rondônia,Homens,85-89,0.0141605354952203,0.0141262549746229,10.4688351782563
Rondônia,Homens,90+,0.0171168040824192,0.0170331076340897,8.49899495033316
Rondônia,Ambos,0,0.0008012978517013,0.0006703830990882,4.95080789197528
Rondônia,Ambos,1-4,9.94936578616481e-05,7.96528579028364e-05,14.3999541056575
Rondônia,Ambos,5-9,0.0001449451388028,0.0001439523508847,44.3090743707142
Rondônia,Ambos,10-14,3.66638552344752e-05,3.14613527412379e-05,9.64647608470095
Rondônia,Ambos,15-19,0.0001818183372805,0.0001570528884023,13.9460999469073
Rondônia,Ambos,20-24,0.000416036349139,0.000401089883739,23.6629013679778
Rondônia,Ambos,25-29,0.0004998261205918,0.000488147608024,27.8745405698574
Rondônia,Ambos,30-34,0.00055242510175,0.0005405800602016,25.6300319604708
Rondônia,Ambos,35-39,0.0004729179421701,0.0004627845827671,19.5225055143328
Rondônia,Ambos,40-44,0.0006022910523364,0.0005962827980359,19.2648350268705
Rondônia,Ambos,45-49,0.0009963841687917,0.0009928815118716,23.7818428635106
Rondônia,Ambos,50-54,0.0008881754699638,0.0008832212642965,15.2948805713438
Rondônia,Ambos,55-59,0.0012128867589772,0.0011988438638536,14.3250315170973
Rondônia,Ambos,60-64,0.0013031137039639,0.0013029366868507,10.3330747652004
Rondônia,Ambos,65-69,0.002056701482636,0.0020527194808186,10.4546825378618
Rondônia,Ambos,70-74,0.0022481972175682,0.0022466224142566,8.23235511697533
Rondônia,Ambos,75-79,0.0038676117316598,0.0038577235029029,8.56325930420454
Rondônia,Ambos,80-84,0.0056913359038711,0.0056794276483009,7.61306078060945
Rondônia,Ambos,85-89,0.0117560149590187,0.0113002619779038,8.95163835882766
Rondônia,Ambos,90+,0.0118796447893107,0.0118359233498917,5.98204574190546
