regiao,Faixa_Etaria,taxa,ano,previsto,previsao_lee_miler_2_1$lmt_inf,previsao_lee_miler_3_1$lmt_max
Acre,55-59,Homens,2056,0.01077254539703756,0.010332485595520777,0.01123134731313275
Acre,55-59,Homens,2057,0.010749682704361763,0.010301479227841031,0.011217386910042076
Acre,55-59,Homens,2058,0.010726868533432417,0.010270570200877039,0.0112034391745569
Acre,55-59,Homens,2059,0.01070410278127128,0.010239757941741747,0.01118950438124616
Acre,55-59,Homens,2060,0.010681385345118656,0.010209041901579343,0.011175582781501318
Acre,55-59,Homens,2061,0.01065871612243296,0.010178421553326813,0.011161674605772207
Acre,55-59,Homens,2062,0.010636095010890207,0.010147896389730354,0.011147780065548098
Acre,55-59,Homens,2063,0.010613521908383584,0.01011746592158325,0.011133899355117442
Acre,55-59,Homens,2064,0.010590996713022984,0.01008712967615659,0.011120032653134533
Acre,55-59,Homens,2065,0.010568519323134535,0.010056887195798754,0.011106180124017683
Acre,55-59,Homens,2066,0.010546089637260154,0.010026738036682496,0.01109234191919957
Acre,55-59,Homens,2067,0.010523707554157085,0.00999668176768194,0.011078518178247817
Acre,55-59,Homens,2068,0.010501372972797435,0.009966717969363735,0.011064709029871386
Acre,55-59,Homens,2069,0.010479085792367726,0.009936846233079173,0.011050914592826033
Acre,55-59,Homens,2070,0.010456845912268432,0.009907066160145448,0.011037134976730558
Acre,60-64,Homens,2024,0.012811011779744554,0.011396025503648021,0.014401689674019778
Acre,60-64,Homens,2025,0.012564398713252755,0.011077896852608394,0.014250368741104235
Acre,60-64,Homens,2026,0.012322532969268362,0.010769875710321892,0.014099031675284512
Acre,60-64,Homens,2027,0.012085323161429268,0.010471393113469103,0.013948004275411227
Acre,60-64,Homens,2028,0.011852679662568644,0.01018196782715518,0.01379753084750416
Acre,60-64,Homens,2029,0.011624514570850245,0.00990118288058924,0.013647797504359165
Acre,60-64,Homens,2030,0.01140074167655562,0.009628669807328676,0.013498947764998931
Acre,60-64,Homens,2031,0.011181276429510759,0.009364097729768301,0.013351093314168809
Acre,60-64,Homens,2032,0.010966035907139701,0.009107165595620541,0.013204321614016211
Acre,60-64,Homens,2033,0.010754938783133088,0.008857596526321307,0.013058701407906553
Acre,60-64,Homens,2034,0.010547905296719971,0.008615133616922784,0.012914286776705081
Acre,60-64,Homens,2035,0.01034485722253102,0.008379536756054164,0.012771120178837294
Acre,60-64,Homens,2036,0.010145717841041896,0.008150580177056848,0.012629234762917883
Acre,60-64,Homens,2037,0.009950411909585654,0.007928050542551343,0.012488656150590237
Acre,60-64,Homens,2038,0.00975886563392308,0.007711745424413723,0.012349403827500579
Acre,60-64,Homens,2039,0.009571006640360348,0.007501472081119501,0.012211492240353856
Acre,60-64,Homens,2040,0.009386763948403374,0.007297046461700052,0.012074931670712876
Acre,60-64,Homens,2041,0.009206067943938644,0.0070982923845100436,0.01193972893725265
Acre,60-64,Homens,2042,0.009028850352930252,0.006905040852378426,0.01180588796480897
Acre,60-64,Homens,2043,0.008855044215623265,0.006717129475291372,0.011673410248987609
Acre,60-64,Homens,2044,0.008684583861243756,0.006534401978702891,0.011542295238155397
Acre,60-64,Homens,2045,0.008517404883185777,0.006356707780671013,0.011412540649533981
Acre,60-64,Homens,2046,0.008353444114676005,0.006183901624807582,0.011284142732329843
Acre,60-64,Homens,2047,0.008192639604906893,0.006015843258873872,0.011157096487991507
Acre,60-64,Homens,2048,0.008034930595629217,0.005852397151010415,0.011031395855531121
Acre,60-64,Homens,2049,0.00788025749819519,0.0056934322372379255,0.010907033868201011
Acre,60-64,Homens,2050,0.007728561871043587,0.0055388216951381105,0.010784002786545635
Acre,60-64,Homens,2051,0.007579786397618211,0.005388442739611669,0.01066229421186324
Acre,60-64,Homens,2052,0.007433874864711421,0.005242176437385423,0.010541899183338222
Acre,60-64,Homens,2053,0.007290772141224632,0.005099907537551132,0.010422808261496695
Acre,60-64,Homens,2054,0.007150424157337588,0.004961524315903979,0.010305011600154054
Acre,60-64,Homens,2055,0.0070127778840786605,0.004826918431236055,0.010188499008637532
Acre,60-64,Homens,2056,0.006877781313288449,0.0046959847920520804,0.01007326000575668
Acre,60-64,Homens,2057,0.006745383437969049,0.004568621432426388,0.009959283866744464
Acre,60-64,Homens,2058,0.006615534233011584,0.00444472939592514,0.009846559664188225
Acre,60-64,Homens,2059,0.006488184636294798,0.004324212626685037,0.009735076303804081
Acre,60-64,Homens,2060,0.006363286530147442,0.004206977866877382,0.009624822555772208
Acre,60-64,Homens,2061,0.006240792723167513,0.004092934559899549,0.00951578708223872
Acre,60-64,Homens,2062,0.00612065693239153,0.003981994758730254,0.009407958461496873
Acre,60-64,Homens,2063,0.006002833765806993,0.00387407303896296,0.009301325209283711
Acre,60-64,Homens,2064,0.005887278705201492,0.0037690864160975614,0.00919587579756404
Acre,60-64,Homens,2065,0.0057739480893420035,0.0036669542667251997,0.009091598671119873
Acre,60-64,Homens,2066,0.005662799097477957,0.0035675982532875953,0.008988482262218473
Acre,60-64,Homens,2067,0.005553789733161856,0.0034709422521313846,0.00888651500359404
Acre,60-64,Homens,2068,0.005446878808381407,0.0033769122846114114,0.008785685339946123
Acre,60-64,Homens,2069,0.00534202592799705,0.00328543645102525,0.008685981738130247
Acre,60-64,Homens,2070,0.005239191474479104,0.0031964448671855873,0.008587392696193442
Acre,65-69,Homens,2024,0.0234937243171521,0.022975061556887735,0.024024095906061773
Acre,65-69,Homens,2025,0.023406782334862125,0.022851323502558175,0.023975742989690695
Acre,65-69,Homens,2026,0.023320162094165025,0.022728745683041444,0.0239269675362639
Acre,65-69,Homens,2027,0.023233862404408716,0.022607226494657805,0.02387786765238792
Acre,65-69,Homens,2028,0.02314788207934731,0.022486687687970252,0.023828518107894527
Acre,65-69,Homens,2029,0.02306221993712476,0.022367067667054312,0.023778977036481613
Acre,65-69,Homens,2030,0.022976874800258684,0.022248317015920723,0.023729290409201527
Acre,65-69,Homens,2031,0.022891845495624143,0.022130395420875672,0.023679495112012405
Acre,65-69,Homens,2032,0.022807130854437495,0.0220132694983867,0.02362962111782424
Acre,65-69,Homens,2033,0.022722729712240375,0.021896911227812652,0.023579693053681378
Acre,65-69,Homens,2034,0.022638640908883678,0.02178129679856009,0.023529731353518952
Acre,65-69,Homens,2035,0.022554863288511563,0.021666405747558494,0.023479753120601125
Acre,65-69,Homens,2036,0.022471395699545642,0.02155222030413416,0.023429772782560882
Acre,65-69,Homens,2037,0.0223882369946691,0.021438724885648974,0.02337980259567555
Acre,65-69,Homens,2038,0.022305386030810916,0.021325905704457603,0.02332985303782431
Acre,65-69,Homens,2039,0.0222228416691302,0.021213750458220777,0.023279933118089943
Acre,65-69,Homens,2040,0.02214060277500051,0.021102248083436817,0.023230050623143032
Acre,65-69,Homens,2041,0.022058668217994223,0.020991388557477415,0.023180212315121976
Acre,65-69,Homens,2042,0.021977036871867067,0.020881162738236196,0.02313042409190104
Acre,65-69,Homens,2043,0.02189570761454259,0.02077156223322939,0.02308069111790642
Acre,65-69,Homens,2044,0.02181467932809673,0.020662579291967336,0.02303101793166217
Acre,65-69,Homens,2045,0.0217339508987425,0.020554206716866058,0.02298140853479615
Acre,65-69,Homens,2046,0.021653521216814627,0.020446437789044918,0.022931866466160754
Acre,65-69,Homens,2047,0.021573389176754307,0.020339266206162065,0.022882394863915845
Acre,65-69,Homens,2048,0.021493553677094056,0.02023268603005072,0.022832996517811587
Acre,65-69,Homens,2049,0.02141401362044248,0.020126691642384623,0.022783673913442323
Acre,65-69,Homens,2050,0.02133476791346929,0.020021277706960643,0.022734429269883838
Acre,65-69,Homens,2051,0.02125581546689021,0.019916439137464787,0.022685264571847604
Acre,65-69,Homens,2052,0.02117715519545201,0.01981217106980598,0.022636181597267616
Acre,65-69,Homens,2053,0.021098786017917603,0.019708468838273832,0.022587181941063697
Acre,65-69,Homens,2054,0.021020706857051204,0.01960532795491237,0.02253826703568931
Acre,65-69,Homens,2055,0.02094291663960346,0.019502744091610496,0.02248943816896283
