regiao,Faixa_Etaria,taxa,ano,previsto,lmt_inf,lmt_max
Ceará,15-19,Ambos,2038,0.00262859721582917,0.005172799531313536,0.0013357415614577894
Ceará,15-19,Ambos,2039,0.0026908891232979505,0.005463975203667953,0.0013252044535309066
Ceará,15-19,Ambos,2040,0.0027546572104235963,0.005770149956196941,0.0013150674427081944
Ceará,15-19,Ambos,2041,0.0028199364593806445,0.006092190414946005,0.0013052844860914816
Ceará,15-19,Ambos,2042,0.0028867626813433617,0.0064309994413857055,0.0012958170583515245
Ceará,15-19,Ambos,2043,0.0029551725361311953,0.006787519978941179,0.0012866326353954077
Ceará,15-19,Ambos,2044,0.0030252035523197665,0.007162738663464607,0.001277703538124255
Ceará,15-19,Ambos,2045,0.0030968941478284762,0.007557689301797831,0.0012690060387336639
Ceará,15-19,Ambos,2046,0.0031702836509959623,0.007973456293464066,0.0012605196614686358
Ceará,15-19,Ambos,2047,0.003245412322155014,0.00841117805118551,0.0012522266294566291
Ceará,15-19,Ambos,2048,0.0033223213757187604,0.008872050462862217,0.001244111422693249
Ceará,15-19,Ambos,2049,0.003401053002790253,0.009357330428715088,0.001236160421597612
Ceará,15-19,Ambos,2050,0.0034816503943078422,0.009868339501133685,0.0012283616171485973
Ceará,15-19,Ambos,2051,0.003564157764739057,0.010406467650501357,0.001220704373336296
Ceará,15-19,Ambos,2052,0.003648620376335953,0.010973177177320423,0.0012131792310916389
Ceará,15-19,Ambos,2053,0.0037350845639652977,0.011570006788945163,0.0012057777453770826
Ceará,15-19,Ambos,2054,0.0038235977605271393,0.012198575857888104,0.0011984923489945201
Ceará,15-19,Ambos,2055,0.003914208522975757,0.012860588877817726,0.001191316238073838
Ceará,15-19,Ambos,2056,0.004006966558957244,0.013557840132887359,0.0011842432752732508
Ceará,15-19,Ambos,2057,0.004101922754078347,0.014292218595838518,0.001177267907539903
Ceará,15-19,Ambos,2058,0.004199129199821516,0.015065713070344272,0.0011703850959104139
Ceará,15-19,Ambos,2059,0.004298639222121462,0.015880417593256094,0.0011635902553222604
Ceará,15-19,Ambos,2060,0.004400507410618952,0.016738537112756944,0.0011568792027921047
Ceará,15-19,Ambos,2061,0.0045047896486078145,0.017642393458883264,0.001150248112621372
Ceará,15-19,Ambos,2062,0.004611543143691648,0.018594431623441442,0.0011436934775311775
