regiao,faixa_etaria,taxa,RMSE_LC,RMSE_LM,MAE_LC,MAE_LM,MAPE_LC,MAPE_LM
Alagoas,35-39,Homens,5.590129363716937e-4,1.7908514071369764e-4,4.685973342831474e-4,1.4883724198583827e-4,10.875216217298,3.270142466921095
Alagoas,40-44,Homens,5.688275022056775e-4,2.201845036824674e-4,4.5481560299485914e-4,1.691276839361635e-4,8.652249007894868,3.054047451974358
Alagoas,45-49,Homens,5.49233150511146e-4,2.692941434219995e-4,3.818458110701491e-4,1.9279033588890334e-4,5.517252639543524,2.5874435561753315
Alagoas,50-54,Homens,7.232042649097971e-4,4.424511831809014e-4,5.452485712211139e-4,3.3879997898603756e-4,5.623865760461647,3.265611245855623
Alagoas,55-59,Homens,8.066542274979314e-4,5.371567411252924e-4,4.7564342334685886e-4,4.1676066724184415e-4,3.675249474070473,2.9923292223402784
Alagoas,60-64,Homens,8.527370683227264e-4,8.923106050827417e-4,5.94334144053994e-4,6.352341942466206e-4,3.149199422333546,3.182269872414372
Alagoas,65-69,Homens,0.0012191966209348763,0.0017225970898295832,9.024571010907385e-4,0.0012945484032325326,3.1640474603093374,4.392543980473634
Alagoas,70-74,Homens,0.0013868657091690082,0.0015232761637597055,7.978354295633379e-4,0.0012288158869498227,2.184208173646861,3.1067008278234134
Alagoas,75-79,Homens,0.0019112666077242086,0.002205141771632928,0.0011602579442655384,0.0017706910914292648,2.020785116049816,2.9168627502433533
Alagoas,80-84,Homens,0.0025780895647503172,0.0033622265445503916,0.0019134318964468655,0.0024260503700617576,2.061203838223833,2.6124781411642104
Alagoas,85-89,Homens,0.010195622213721958,0.007881748784742494,0.008016930233515367,0.006464888141914587,5.7107626686894015,4.606914810345596
Alagoas,90+,Homens,0.04476004910993835,0.019939198893511294,0.03092022756840038,0.014344910572750518,13.451375662937886,6.2793580289189
Sergipe,0,Homens,0.01073543288725532,0.005516223026875199,0.0076822772758188326,0.004493299314289454,36.76636588727151,22.11985838280653
Sergipe,1-4,Homens,5.055065043513422e-4,2.480314572810129e-4,3.431822726801435e-4,1.9620870047729535e-4,48.505563304935976,26.87677936353485
Sergipe,5-9,Homens,1.4898308608373315e-4,9.559425874430304e-5,1.0829208971646904e-4,7.561601778103446e-5,35.81331117973295,23.5504375995851
Sergipe,10-14,Homens,8.467468601371954e-5,5.441803231976293e-5,6.312864925944765e-5,4.249726141398203e-5,16.13225705006758,10.64648511062106
Sergipe,15-19,Homens,7.347898526873955e-4,6.160878209562177e-4,5.421900331329363e-4,5.001701401280345e-4,28.163906624056263,25.057840518265266
Sergipe,20-24,Homens,7.349030242764194e-4,5.953197173587505e-4,5.882782985267123e-4,5.143009947753557e-4,18.087079768786364,15.461504341409867
Sergipe,25-29,Homens,4.281754368769985e-4,4.0855467748690674e-4,3.4241313560494553e-4,3.357077230399391e-4,9.768696226804073,9.482352560306479
Sergipe,30-34,Homens,2.1179798648816492e-4,0.00021084763137873001,1.74591135118181e-4,1.803081372321255e-4,4.809015300659715,5.053870896341873
Sergipe,35-39,Homens,3.214202546248873e-4,2.7431227387168084e-4,2.536018005849025e-4,2.2739744066304003e-4,6.252657865111699,5.577590896158237
Sergipe,40-44,Homens,3.3236851122956827e-4,2.808883372221707e-4,2.491329038242048e-4,2.292445689004349e-4,5.197846684498109,4.614177221083598
Sergipe,45-49,Homens,4.4768932665190705e-4,3.3231065932933716e-4,3.558165726251695e-4,2.7830080149053647e-4,5.5071379412861,4.274538712550298
Sergipe,50-54,Homens,6.894933770779047e-4,4.567152558925685e-4,5.32866609280471e-4,3.7842383348972685e-4,5.7183414097002405,4.064700683794461
Sergipe,55-59,Homens,6.37308628364649e-4,4.404323873358884e-4,4.995047737273063e-4,3.6478088829142386e-4,4.10981989042295,2.8870194022364206
Sergipe,60-64,Homens,7.986437101282803e-4,9.233985197694508e-4,6.417790193459082e-4,7.204800780742288e-4,3.6506161241985238,4.000874987871997
Sergipe,65-69,Homens,9.847884732499318e-4,0.0011775622217353335,7.279247779785992e-4,8.594330948623285e-4,2.855662891440725,3.272160447667443
Sergipe,70-74,Homens,8.770432373058487e-4,0.0016132111758469117,5.674771768823995e-4,0.0011678367324235025,1.5418522546050157,3.2194894643868106
Sergipe,75-79,Homens,9.510892014648075e-4,0.0016582700200110522,6.587894777107892e-4,0.001305415554586765,1.1960928796476151,2.305950326066493
Sergipe,80-84,Homens,0.003213708853193403,0.0038402320575777926,0.0019873916398393415,0.0025133399102974306,2.2472091480021312,2.8405892857709913
Sergipe,85-89,Homens,0.0042393564817060905,0.004371210468236842,0.0032666601101341425,0.003515259997645214,2.406976649705897,2.5862150060374716
Sergipe,90+,Homens,0.027592775329404663,0.022979548138033015,0.01876306677709026,0.015326175427765883,8.411568374197568,6.806969050961419
Bahia,0,Homens,0.009846495389252722,0.004091244040959004,0.007732439363167573,0.002940372988823205,36.73950073530415,14.36559080329252
Bahia,1-4,Homens,3.984327583642688e-4,1.751516930066321e-4,2.9717112833370346e-4,1.0636981802557543e-4,46.17221419244918,18.18109515269441
Bahia,5-9,Homens,1.0619694656901139e-4,5.7208937355199534e-5,8.58428584933446e-5,4.1016462100972005e-5,27.14166641890002,13.150575646892221
Bahia,10-14,Homens,9.732002009902517e-5,6.493624867227747e-5,7.766023475844882e-5,5.0831893198785654e-5,17.083653238617853,11.26873690204638
Bahia,15-19,Homens,5.834370143186625e-4,4.975199448084143e-4,4.815314428138739e-4,3.331222292486013e-4,19.687049552414837,13.645409113803355
Bahia,20-24,Homens,8.480539566927003e-4,5.644389823812734e-4,7.029928320197219e-4,3.888370935974638e-4,18.717348658349593,10.410401503628698
Bahia,25-29,Homens,3.8965243759427943e-4,2.656568441991876e-4,3.0868933772907974e-4,1.90763524093619e-4,8.744215062555453,5.414358446047684
Bahia,30-34,Homens,1.396399303721682e-4,1.3986714404429066e-4,1.1825050804091526e-4,1.2023410707362883e-4,3.415113239000564,3.472946796622757
Bahia,35-39,Homens,2.1494957212295495e-4,1.0032156837196629e-4,1.7471384703620786e-4,7.898086483060011e-5,4.5365712358241845,2.0676019158402403
Bahia,40-44,Homens,4.3697624541461197e-4,1.3676345782802734e-4,3.5701943064154443e-4,1.1159679610041213e-4,7.202226920365582,2.2916697804747193
Bahia,45-49,Homens,6.095193535032142e-4,1.8156909216466123e-4,5.031833073488857e-4,1.5530825463515446e-4,7.736716369831019,2.4668375568349727
Bahia,50-54,Homens,7.5871057521522e-4,2.3395494520489027e-4,6.359433950995691e-4,1.7501288951591142e-4,7.113421680773567,2.013395264978523
Bahia,55-59,Homens,8.248544764942163e-4,2.8123086081905676e-4,6.962591927738802e-4,2.2109995965813992e-4,5.717023158588449,1.8324147764357228
Bahia,60-64,Homens,8.208634588307799e-4,4.8373972453586724e-4,6.359159993337458e-4,3.8784248993778224e-4,3.8588879579049893,2.310920667590919
Bahia,65-69,Homens,0.0012064465360021306,7.510657220447805e-4,0.0010160782909777997,5.963883549001853e-4,4.339704804085134,2.5647641183025276
Bahia,70-74,Homens,0.0013084423744106248,5.126705403379968e-4,0.0011333373964292673,4.241900039260351e-4,3.456663683694422,1.2698347702477832
Bahia,75-79,Homens,0.001558644720369474,9.032177786748057e-4,0.0013858806017729007,7.518867294312682e-4,2.6512376522372545,1.414963607598027
Bahia,80-84,Homens,0.0013139849936223875,0.0019301883339414038,0.0010470615597983172,0.0014360280105732103,1.2662207872399456,1.737081635623639
Bahia,85-89,Homens,0.008485853693944773,0.007554360898164993,0.006779400041584094,0.005928195754888733,5.183483892873302,4.533608353056778
Bahia,90+,Homens,0.034647370494972234,0.02336066324581623,0.027586257009934802,0.017521835389272402,13.53939852646934,8.492774424676588
Minas Gerais,0,Homens,0.0023952534661784235,0.0017872796089439748,0.0013723346553468363,0.0012010650549220089,8.909332128379619,7.720625284200423
Minas Gerais,1-4,Homens,1.0904105550846267e-4,9.42387494139419e-5,7.335787053174677e-5,6.608663661307278e-5,12.893474767351346,11.331338430379047
Minas Gerais,5-9,Homens,3.3266753995135116e-5,2.696337764227871e-5,2.1567701635381243e-5,1.744369812443342e-5,9.18129329882599,7.454811351989816
Minas Gerais,10-14,Homens,4.9080009782173e-5,4.1385393096116636e-5,3.591734070736558e-5,3.171544752616865e-5,10.309813601481675,8.991916234782362
Minas Gerais,15-19,Homens,2.6414441046582876e-4,2.5551138431858416e-4,2.221227094056075e-4,2.1718763135668715e-4,14.992933863398234,14.639984614362902
Minas Gerais,20-24,Homens,2.5591114533849975e-4,2.3839432170647044e-4,2.106842182955391e-4,2.0160111749284953e-4,9.618147475852489,9.185811948770388
Minas Gerais,25-29,Homens,1.614297693980412e-4,1.3280995174487972e-4,1.2363425614591922e-4,1.0730381478137507e-4,5.411937323233467,4.634984402322234
Minas Gerais,30-34,Homens,1.5497452406027594e-4,1.0987053605293386e-4,1.1337574220990316e-4,8.999394748184831e-5,4.235680324322179,3.283805787356248
Minas Gerais,35-39,Homens,1.1359640717517785e-4,7.712961619886397e-5,8.651269737433246e-5,5.917715945077383e-5,2.5523948733988653,1.6937657486181616
Minas Gerais,40-44,Homens,1.44671483835026e-4,1.3136478772289665e-4,1.2336145077956998e-4,1.1649429874664821e-4,2.681973482001843,2.478831453913491
Minas Gerais,45-49,Homens,1.1831004413169272e-4,1.7932373743753777e-4,8.874111079090488e-5,9.871038080357282e-5,1.4026015122213968,1.5122605431116873
Minas Gerais,50-54,Homens,0.00022103104794822537,3.247396531934695e-4,1.370925026459001e-4,1.788143448147563e-4,1.5327026020235675,2.0035447780527127
Minas Gerais,55-59,Homens,3.99663224858926e-4,5.217233314259929e-4,2.45352070974504e-4,3.0270862997923095e-4,1.8924858715877388,2.3591338181334858
Minas Gerais,60-64,Homens,6.093132600715199e-4,7.557567227251515e-4,4.934355017642293e-4,5.615885862322937e-4,2.750370855515823,3.1339754792848313
Minas Gerais,65-69,Homens,0.00067336003992954775,9.232995767046413e-4,5.713334760294059e-4,7.211477775071652e-4,2.3355814589211694,2.9512365799250437
Minas Gerais,70-74,Homens,2.7614087217502835e-4,5.751407892365996e-4,2.3248625973958104e-4,4.153848599626896e-4,0.6741350348433053,1.2292827429301898
Minas Gerais,75-79,Homens,4.7517870930072377e-4,7.925187614899695e-4,3.322681264064815e-4,6.251984306452322e-4,0.6180538484679825,1.161809514680438
Minas Gerais,80-84,Homens,7.392793937932512e-4,0.0012610998238444116,6.406245466900572e-4,0.0010567808061191619,0.7351980599577234,1.2379103335598347
Minas Gerais,85-89,Homens,0.001691342832598757,0.002246115668560335,0.0013456814607484522,0.0017133769864699961,0.9755205127204224,1.2409186303922737
Minas Gerais,90+,Homens,0.005947922613633756,0.00616546423102438,0.004245516480437913,0.00442061466049488,2.102562358921639,2.1882772390615393
Espírito Santo,0,Homens,0.0016495710312159969,0.0013148815490274606,0.0012137023481378815,0.0010177711112025164,8.922277999302343,7.404136801366549
Espírito Santo,1-4,Homens,7.726253984857832e-5,6.774886659081491e-5,5.44316448245327e-5,4.809323189632978e-5,9.600884984092374,8.375473303546636
Espírito Santo,5-9,Homens,3.915240681335043e-5,2.934833441505599e-5,2.8967414007258054e-5,2.2920284877415844e-5,10.86814631205225,8.674546939328529
Espírito Santo,10-14,Homens,4.9755546844957284e-5,4.242846194546805e-5,3.9570259161334824e-5,3.4161710182981684e-5,8.871824170175593,7.616752372928836
Espírito Santo,15-19,Homens,4.0396808452266853e-4,3.900974310383935e-4,3.428102578548398e-4,3.3132073731480103e-4,13.292651129960175,12.84058433822489
Espírito Santo,20-24,Homens,3.6857094841111806e-4,3.095381569433521e-4,2.504309318099091e-4,2.127318934174527e-4,7.791912841738741,6.602717007061745
Espírito Santo,25-29,Homens,3.166858894506792e-4,2.263689086091354e-4,2.365110162888302e-4,1.7688186011863334e-4,7.879667399569219,5.7926457562649345
Espírito Santo,30-34,Homens,2.4729057656839177e-4,1.3599682012407463e-4,1.724713957415781e-4,1.0060313124110757e-4,5.836473813065467,3.4161519390101183
Espírito Santo,35-39,Homens,3.0830419410304627e-4,1.6140665106431488e-4,2.1583004639692024e-4,1.146669805116379e-4,6.340016135532324,3.3329233725518015
Espírito Santo,40-44,Homens,3.4693903122785385e-4,1.6231706536113554e-4,2.2625172932092365e-4,1.1036230630240117e-4,5.083933096057913,2.4764003880653966
Espírito Santo,45-49,Homens,1.7802590046303357e-4,2.3520871911392367e-4,1.2881302990158002e-4,1.3250705040943e-4,2.1253741097420296,2.0602338401553606
Espírito Santo,50-54,Homens,1.964956196562265e-4,2.848917837030688e-4,1.5741135429423727e-4,2.2142459204116567e-4,1.854173571946544,2.6389522624283304
Espírito Santo,55-59,Homens,3.675876868860473e-4,4.596739715744923e-4,2.678351987118082e-4,3.437147496151793e-4,2.1507508690108557,2.7596796210127046
Espírito Santo,60-64,Homens,7.210207683364998e-4,9.529654200829254e-4,6.353983978878952e-4,8.254530849755407e-4,3.7355899106990194,4.82074554727872
Espírito Santo,65-69,Homens,8.601977634073823e-4,0.0013448301963944003,6.851409190316393e-4,0.0010127188773396468,2.8237491141239266,4.101022992351826
Espírito Santo,70-74,Homens,2.650771559218079e-4,9.734837800271245e-4,2.2891575870256066e-4,7.455157225182219e-4,0.6558022074022054,2.114997896555548
Espírito Santo,75-79,Homens,4.8217194840172195e-4,0.0013642249600624554,3.806415219824398e-4,0.0010274312088309064,0.6816090778262409,1.8462025028026976
Espírito Santo,80-84,Homens,0.0012025820753533414,0.002137078027232697,8.586307261733214e-4,0.0014548562014813284,0.9582098995557448,1.6487139012323613
Espírito Santo,85-89,Homens,0.0026577813261800852,0.003773742610781528,0.0021072114478395618,0.0027982683504636867,1.512616835599118,2.0042493622245012
Espírito Santo,90+,Homens,0.00819363209990551,0.00850676273959682,0.005659168590279627,0.005832915889088201,2.7349981011493614,2.817077877952719
Rio de Janeiro,0,Homens,0.0018134436844631147,0.0012744186241621688,0.0011146618609686211,7.96304171204078e-4,7.468844732805589,5.274796130532217
Rio de Janeiro,1-4,Homens,8.806499816886076e-5,7.207059216805204e-5,5.362686027333196e-5,4.710067316531199e-5,10.05459259571843,8.721741622990715
Rio de Janeiro,5-9,Homens,5.67051825935836e-5,4.822007952283923e-5,3.3311499737765065e-5,3.121288588756256e-5,15.362729082157585,13.758702748157207
Rio de Janeiro,10-14,Homens,6.314521899563916e-5,5.2018086585245784e-5,3.983694844841551e-5,3.34256986722449e-5,11.2589056161838,9.331129253194655
Rio de Janeiro,15-19,Homens,4.276599743359481e-4,3.6786775144220476e-4,3.4844941625259405e-4,3.103747235826264e-4,14.671423760776262,13.112570841706027
Rio de Janeiro,20-24,Homens,3.51430937456737e-4,2.684162216076792e-4,2.7096582089310964e-4,2.2073513012536955e-4,7.7944675669432915,6.41029333986218
Rio de Janeiro,25-29,Homens,2.762863154694472e-4,1.8886673015062417e-4,2.1358886134451244e-4,1.5410565151615917e-4,6.906620299196615,5.034654107559974
Rio de Janeiro,30-34,Homens,2.2882356287218976e-4,1.1579387815081326e-4,1.578770120322126e-4,8.96323575434539e-5,5.018702452207577,2.8981323406050494
Rio de Janeiro,35-39,Homens,2.3456102044869183e-4,1.0960638884663067e-4,1.5570010851649263e-4,7.700733658266692e-5,4.260551806373826,2.039276482535439
Rio de Janeiro,40-44,Homens,2.951626938816101e-4,1.4992124202129603e-4,1.7872994555405454e-4,1.1306376773296039e-4,3.799897446078091,2.5897056005965076
Rio de Janeiro,45-49,Homens,3.665750119123029e-4,1.4078719456476642e-4,2.0804330449806816e-4,1.1534364136602416e-4,3.2209282551725984,1.841458184696314
Rio de Janeiro,50-54,Homens,4.3191169828078594e-4,3.268285969537036e-4,3.1007118388021784e-4,2.9120133225364495e-4,3.1772949611433647,2.9542046421191537
Rio de Janeiro,55-59,Homens,2.993389493224592e-4,4.839494362459482e-4,2.5532429896839076e-4,3.615109622028381e-4,1.795842982416081,2.492649975528213
Rio de Janeiro,60-64,Homens,4.596489064080961e-4,5.877918073988327e-4,3.9806281103406627e-4,3.8947294357754127e-4,1.904462865749132,1.7634646404568792
Rio de Janeiro,65-69,Homens,6.202525469777246e-4,0.0011019510289148587,4.96515542004607e-4,7.0741950879316e-4,1.6003536118608503,2.2203687314908778
Rio de Janeiro,70-74,Homens,0.0015566790773230224,0.00216406266443721,0.001070713632297943,0.0013597126081378232,2.3575214440325256,2.9847000286066887
Rio de Janeiro,75-79,Homens,0.0013394880037216825,0.0023463631504383963,0.0010462403807782676,0.00172213752839165,1.613194820568513,2.6380336618606957
Rio de Janeiro,80-84,Homens,0.001374143537305099,0.002493432693048774,0.001172842560736933,0.0019380460947970943,1.2017661061888918,1.9916013193581643
Rio de Janeiro,85-89,Homens,0.004695488101549487,0.00603269526693483,0.003978680099274831,0.00447139502862277,2.728045877464098,3.0420743955029086
Rio de Janeiro,90+,Homens,0.01845693751782181,0.01635107365696772,0.012190152485549126,0.010796443644582713,5.170683169829136,4.575805054500575
São Paulo,0,Homens,0.001625940801972685,0.001140556063660344,8.594626960994903e-4,6.332477466562403e-4,7.167976153607087,5.161787681847127
São Paulo,1-4,Homens,8.026889018213254e-5,6.089411879408283e-5,4.264943964152844e-5,3.5575337039780116e-5,10.17208177345981,8.422478682162534
São Paulo,5-9,Homens,4.366876690271402e-5,3.315233452089714e-5,2.462895133501727e-5,2.01151585882556e-5,13.391505144972577,10.30409386620755
São Paulo,10-14,Homens,5.973160878103911e-5,4.027351995844619e-5,3.30443382444341e-5,2.2084025040668755e-5,13.353811783725716,8.787531849794902
São Paulo,15-19,Homens,3.8360324496613114e-4,2.597407783308279e-4,2.5613721091461827e-4,1.789885649184135e-4,22.836323476648584,15.677214816728663
São Paulo,20-24,Homens,3.941194289770383e-4,2.3639936584024694e-4,2.6344438885374136e-4,1.5795284968737167e-4,13.907567423598552,8.06719965405979
São Paulo,25-29,Homens,3.4677444053166036e-4,1.9183520574409684e-4,2.3431136067492158e-4,1.3464424576832413e-4,11.422139722301813,6.324941916689301
São Paulo,30-34,Homens,3.00206778604542e-4,1.4129640643520416e-4,1.972709931836009e-4,9.5071580874648e-5,8.122152586685646,3.779163113953035
São Paulo,35-39,Homens,2.4754585056720467e-4,7.275815501284393e-5,1.5335015917855447e-4,4.5959745504715596e-5,5.19517014902833,1.551349060732468
São Paulo,40-44,Homens,2.4901129122022273e-4,1.119674626614613e-4,1.6607402330483153e-4,1.0084961061291838e-4,4.094045021157674,2.3308186728868123
São Paulo,45-49,Homens,2.5240619111264193e-4,2.2207309060829638e-4,1.8431265143876768e-4,1.5294439909528166e-4,3.2278500367152656,2.34479446174506
São Paulo,50-54,Homens,3.1400668076258273e-4,3.662228709354106e-4,2.3648554437996906e-4,2.503343179697653e-4,2.76812040365258,2.6851512486736566
São Paulo,55-59,Homens,4.83047561408407e-4,6.661778214532808e-4,2.9250323760101536e-4,3.2418042356874527e-4,2.1743152840795186,2.304294414422908
São Paulo,60-64,Homens,6.016571291487018e-4,8.191855997392249e-4,4.230008891151357e-4,4.2951037471094746e-4,2.238657176919573,2.1840194372067847
São Paulo,65-69,Homens,6.506837443054385e-4,0.0011188599267429225,4.0853882359621565e-4,6.07385893244787e-4,1.4400369426541169,2.1117039392921857
São Paulo,70-74,Homens,7.462605809117381e-4,0.0012614343339163881,5.14947416752539e-4,6.640978926525914e-4,1.2557572045411929,1.5988378741397975
São Paulo,75-79,Homens,6.029366837443761e-4,0.001253516524555912,4.939019529003403e-4,0.00106264589546454,0.8113422608622889,1.7384758555693678
