Localidade,cod_IBGE,Código DataSUS,Ano,Taxa
Machadinho D'Oeste,1100130,110013,2011,8.79
Machadinho D'Oeste,1100130,110013,2012,16.61
Machadinho D'Oeste,1100130,110013,2013,13.62
Machadinho D'Oeste,1100130,110013,2014,9.86
Machadinho D'Oeste,1100130,110013,2015,22.92
Machadinho D'Oeste,1100130,110013,2016,17.59
Machadinho D'Oeste,1100130,110013,2017,6.68
Machadinho D'Oeste,1100130,110013,2018,3.87
Machadinho D'Oeste,1100130,110013,2019,20.0
Machadinho D'Oeste,1100130,110013,2020,5.35
Machadinho D'Oeste,1100130,110013,2021,10.68
Machadinho D'Oeste,1100130,110013,2022,24.1
Machadinho D'Oeste,1100130,110013,2023,17.75
Nova Brasilândia D'Oeste,1100148,110014,1996,14.36
Nova Brasilândia D'Oeste,1100148,110014,1997,8.18
Nova Brasilândia D'Oeste,1100148,110014,1998,14.2
Nova Brasilândia D'Oeste,1100148,110014,1999,14.26
Nova Brasilândia D'Oeste,1100148,110014,2000,12.43
Nova Brasilândia D'Oeste,1100148,110014,2001,18.87
Nova Brasilândia D'Oeste,1100148,110014,2002,4.48
Nova Brasilândia D'Oeste,1100148,110014,2003,21.43
Nova Brasilândia D'Oeste,1100148,110014,2004,11.76
Nova Brasilândia D'Oeste,1100148,110014,2005,15.5
Nova Brasilândia D'Oeste,1100148,110014,2006,14.71
Nova Brasilândia D'Oeste,1100148,110014,2007,22.14
Nova Brasilândia D'Oeste,1100148,110014,2008,6.9
Nova Brasilândia D'Oeste,1100148,110014,2009,27.24
Nova Brasilândia D'Oeste,1100148,110014,2010,24.62
Nova Brasilândia D'Oeste,1100148,110014,2011,13.65
Nova Brasilândia D'Oeste,1100148,110014,2012,3.69
Nova Brasilândia D'Oeste,1100148,110014,2013,17.99
Nova Brasilândia D'Oeste,1100148,110014,2014,15.75
Nova Brasilândia D'Oeste,1100148,110014,2015,7.81
Nova Brasilândia D'Oeste,1100148,110014,2016,3.62
Nova Brasilândia D'Oeste,1100148,110014,2017,16.84
Nova Brasilândia D'Oeste,1100148,110014,2018,6.9
Nova Brasilândia D'Oeste,1100148,110014,2019,30.65
Nova Brasilândia D'Oeste,1100148,110014,2020,8.7
Nova Brasilândia D'Oeste,1100148,110014,2021,8.58
Nova Brasilândia D'Oeste,1100148,110014,2022,16.95
Nova Brasilândia D'Oeste,1100148,110014,2023,26.32
Ouro Preto do Oeste,1100155,110015,1996,23.47
Ouro Preto do Oeste,1100155,110015,1997,45.27
Ouro Preto do Oeste,1100155,110015,1998,17.89
Ouro Preto do Oeste,1100155,110015,1999,18.07
Ouro Preto do Oeste,1100155,110015,2000,26.04
Ouro Preto do Oeste,1100155,110015,2001,34.68
Ouro Preto do Oeste,1100155,110015,2002,22.22
Ouro Preto do Oeste,1100155,110015,2003,20.22
Ouro Preto do Oeste,1100155,110015,2004,23.32
Ouro Preto do Oeste,1100155,110015,2005,21.57
Ouro Preto do Oeste,1100155,110015,2006,17.62
Ouro Preto do Oeste,1100155,110015,2007,16.84
Ouro Preto do Oeste,1100155,110015,2008,19.39
Ouro Preto do Oeste,1100155,110015,2009,22.62
Ouro Preto do Oeste,1100155,110015,2010,12.21
Ouro Preto do Oeste,1100155,110015,2011,19.02
Ouro Preto do Oeste,1100155,110015,2012,12.36
Ouro Preto do Oeste,1100155,110015,2013,15.65
Ouro Preto do Oeste,1100155,110015,2014,5.93
Ouro Preto do Oeste,1100155,110015,2015,9.13
Ouro Preto do Oeste,1100155,110015,2016,12.03
Ouro Preto do Oeste,1100155,110015,2017,5.19
Ouro Preto do Oeste,1100155,110015,2018,13.03
Ouro Preto do Oeste,1100155,110015,2019,14.26
Ouro Preto do Oeste,1100155,110015,2020,16.84
Ouro Preto do Oeste,1100155,110015,2021,13.01
Ouro Preto do Oeste,1100155,110015,2022,1.88
Ouro Preto do Oeste,1100155,110015,2023,3.75
Pimenta Bueno,1100189,110018,1996,13.57
Pimenta Bueno,1100189,110018,1997,23.78
Pimenta Bueno,1100189,110018,1998,17.41
Pimenta Bueno,1100189,110018,1999,17.54
Pimenta Bueno,1100189,110018,2000,19.23
Pimenta Bueno,1100189,110018,2001,17.15
Pimenta Bueno,1100189,110018,2002,25.14
Pimenta Bueno,1100189,110018,2003,13.37
Pimenta Bueno,1100189,110018,2004,22.35
Pimenta Bueno,1100189,110018,2005,14.42
Pimenta Bueno,1100189,110018,2006,28.21
Pimenta Bueno,1100189,110018,2007,8.58
Pimenta Bueno,1100189,110018,2008,14.63
Pimenta Bueno,1100189,110018,2009,6.69
Pimenta Bueno,1100189,110018,2010,16.56
Pimenta Bueno,1100189,110018,2011,14.01
Pimenta Bueno,1100189,110018,2012,16.27
Pimenta Bueno,1100189,110018,2013,20.65
Pimenta Bueno,1100189,110018,2014,23.45
Pimenta Bueno,1100189,110018,2015,16.84
Pimenta Bueno,1100189,110018,2016,9.98
Pimenta Bueno,1100189,110018,2017,14.63
Pimenta Bueno,1100189,110018,2018,12.29
Pimenta Bueno,1100189,110018,2019,12.99
Pimenta Bueno,1100189,110018,2020,15.54
Pimenta Bueno,1100189,110018,2021,19.2
Pimenta Bueno,1100189,110018,2022,18.74
Pimenta Bueno,1100189,110018,2023,9.77
Porto Velho,1100205,110020,1996,10.11
Porto Velho,1100205,110020,1997,28.09
Porto Velho,1100205,110020,1998,31.92
Porto Velho,1100205,110020,1999,31.9
Porto Velho,1100205,110020,2000,35.17
Porto Velho,1100205,110020,2001,28.47
Porto Velho,1100205,110020,2002,35.27
Porto Velho,1100205,110020,2003,33.76
Porto Velho,1100205,110020,2004,27.54
Porto Velho,1100205,110020,2005,25.55
Porto Velho,1100205,110020,2006,22.77
Porto Velho,1100205,110020,2007,22.51
Porto Velho,1100205,110020,2008,16.68
Porto Velho,1100205,110020,2009,19.74
Porto Velho,1100205,110020,2010,21.76
Porto Velho,1100205,110020,2011,12.7
Porto Velho,1100205,110020,2012,14.32
Porto Velho,1100205,110020,2013,13.89
Porto Velho,1100205,110020,2014,13.25
Porto Velho,1100205,110020,2015,13.31
Porto Velho,1100205,110020,2016,15.56
Porto Velho,1100205,110020,2017,13.75
Porto Velho,1100205,110020,2018,12.23
Porto Velho,1100205,110020,2019,13.04
Porto Velho,1100205,110020,2020,17.61
Porto Velho,1100205,110020,2021,15.06
Porto Velho,1100205,110020,2022,13.33
Porto Velho,1100205,110020,2023,13.56
Presidente Médici,1100254,110025,1996,18.39
Presidente Médici,2109239,210923,1996,16.84
Presidente Médici,1100254,110025,1997,37.04
Presidente Médici,2109239,210923,1997,16.84
Presidente Médici,1100254,110025,1998,20.28
Presidente Médici,2109239,210923,1998,16.84
Presidente Médici,1100254,110025,1999,20.49
Presidente Médici,2109239,210923,1999,16.84
Presidente Médici,1100254,110025,2000,25.88
Presidente Médici,2109239,210923,2000,41.67
Presidente Médici,1100254,110025,2001,18.18
Presidente Médici,2109239,210923,2001,16.84
Presidente Médici,1100254,110025,2002,9.78
Presidente Médici,2109239,210923,2002,8.77
Presidente Médici,1100254,110025,2003,15.46
Presidente Médici,2109239,210923,2003,21.51
Presidente Médici,1100254,110025,2004,5.01
Presidente Médici,2109239,210923,2004,16.84
Presidente Médici,1100254,110025,2005,8.8
Presidente Médici,2109239,210923,2005,16.84
Presidente Médici,1100254,110025,2006,13.1
Presidente Médici,2109239,210923,2006,10.64
Presidente Médici,1100254,110025,2007,25.97
Presidente Médici,2109239,210923,2007,15.04
Presidente Médici,1100254,110025,2008,28.04
Presidente Médici,2109239,210923,2008,17.7
Presidente Médici,1100254,110025,2009,37.88
Presidente Médici,2109239,210923,2009,16.84
Presidente Médici,1100254,110025,2010,16.39
Presidente Médici,2109239,210923,2010,16.84
Presidente Médici,1100254,110025,2011,42.11
Presidente Médici,2109239,210923,2011,16.84
Presidente Médici,1100254,110025,2012,12.35
Presidente Médici,2109239,210923,2012,16.84
Presidente Médici,1100254,110025,2013,19.38
Presidente Médici,2109239,210923,2013,21.74
Presidente Médici,1100254,110025,2014,6.92
Presidente Médici,2109239,210923,2014,16.95
Presidente Médici,1100254,110025,2015,19.08
Presidente Médici,2109239,210923,2015,25.64
Presidente Médici,1100254,110025,2016,18.12
Presidente Médici,2109239,210923,2016,10.0
Presidente Médici,1100254,110025,2017,38.06
Presidente Médici,2109239,210923,2017,11.36
Presidente Médici,1100254,110025,2018,10.2
Presidente Médici,2109239,210923,2018,20.41
Presidente Médici,1100254,110025,2019,9.87
Presidente Médici,2109239,210923,2019,16.84
Presidente Médici,1100254,110025,2020,7.72
Presidente Médici,2109239,210923,2020,12.82
Presidente Médici,1100254,110025,2021,3.94
Presidente Médici,2109239,210923,2021,18.87
Presidente Médici,1100254,110025,2022,10.2
Presidente Médici,2109239,210923,2022,16.84
Presidente Médici,1100254,110025,2023,16.13
Presidente Médici,2109239,210923,2023,22.73
